!CSV A.01.01
!Keysight Technologies,N5224B,MY57181201,A.12.70.07
!Date: Friday, July 15, 2022 11:50:41
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S12(DB),S12(DEG)
22000000000,-24.389051,11.067161
22055000000,-24.311401,138.95386
22110000000,-24.61825,-91.945969
22165000000,-24.574028,39.454578
22220000000,-24.294239,168.24257
22275000000,-24.339985,-64.165611
22330000000,-24.671526,66.172607
22385000000,-24.413313,-161.69148
22440000000,-24.281157,-35.20483
22495000000,-24.47052,95.49762
22550000000,-24.424416,-136.05656
22605000000,-24.463133,-5.6556597
22660000000,-24.418941,124.91974
22715000000,-24.406628,-105.25983
22770000000,-24.168547,23.771076
22825000000,-24.267681,153.25211
22880000000,-24.20854,-78.521004
22935000000,-24.362898,54.368103
22990000000,-24.063068,-177.97894
23045000000,-24.189173,-48.829769
23100000000,-24.153542,81.25769
23155000000,-24.255894,-148.44824
23210000000,-24.15526,-19.216297
23265000000,-24.320072,111.41165
23320000000,-23.907894,-119.01882
23375000000,-23.940609,10.173082
23430000000,-23.794783,138.87589
23485000000,-24.057884,-90.684265
23540000000,-24.037727,41.402748
23595000000,-24.046497,170.40724
23650000000,-24.161196,-59.560966
23705000000,-24.31238,70.911697
23760000000,-24.02293,-158.0099
23815000000,-24.248577,-29.063568
23870000000,-24.216333,102.00375
23925000000,-24.123388,-127.44245
23980000000,-24.196817,1.1860743
24035000000,-24.395565,131.02586
24090000000,-24.5271,-97.032097
24145000000,-24.188259,33.365627
24200000000,-24.196507,161.70297
24255000000,-24.399282,-67.70298
24310000000,-24.350943,63.767548
24365000000,-24.126602,-165.31995
24420000000,-23.994179,-35.061523
24475000000,-23.935553,94.112709
24530000000,-24.094934,-135.16594
24585000000,-24.03421,-2.8825667
24640000000,-24.006893,127.69043
24695000000,-23.904369,-102.30463
24750000000,-23.939209,26.298674
24805000000,-23.946974,158.37906
24860000000,-24.118589,-71.361763
24915000000,-23.999405,60.37112
24970000000,-23.767401,-168.8985
25025000000,-23.798548,-40.063454
25080000000,-24.031059,91.712982
25135000000,-23.903811,-137.21709
25190000000,-23.695541,-8.3131952
25245000000,-23.6817,122.86072
25300000000,-23.461832,-106.3791
25355000000,-23.242641,23.472334
25410000000,-23.488071,152.78206
25465000000,-23.472738,-74.656975
25520000000,-23.351698,56.11092
25575000000,-23.327534,-175.01903
25630000000,-23.343771,-44.870262
25685000000,-23.459806,86.516319
25740000000,-23.300192,-142.85719
25795000000,-23.530613,-12.38983
25850000000,-23.354597,118.55669
25905000000,-23.445543,-111.50609
25960000000,-23.635023,19.024065
26015000000,-23.602449,151.00583
26070000000,-23.451765,-78.86409
26125000000,-23.285126,50.896358
26180000000,-23.598381,-179.13528
26235000000,-23.706978,-47.540123
26290000000,-23.434967,83.722229
26345000000,-23.131029,-146.32857
26400000000,-23.431646,-17.902578
26455000000,-23.648138,114.47533
26510000000,-23.354649,-114.30392
26565000000,-23.097731,16.395201
26620000000,-23.265665,146.36153
26675000000,-23.254124,-80.264236
26730000000,-23.176294,49.781918
26785000000,-23.200487,179.72121
26840000000,-23.391752,-48.166595
26895000000,-23.272793,84.510658
26950000000,-22.944599,-146.56396
27005000000,-23.150436,-15.688764
27060000000,-22.888168,115.40768
27115000000,-22.858828,-114.05959
27170000000,-22.863234,15.199513
27225000000,-22.877913,146.7878
27280000000,-22.774952,-84.205437
27335000000,-23.032326,47.025871
27390000000,-22.881851,179.08534
27445000000,-22.569855,-50.234005
27500000000,-22.420433,77.11692
27555000000,-22.768118,-151.97845
27610000000,-22.889252,-19.463783
27665000000,-22.578423,113.20029
27720000000,-22.303337,-117.18106
27775000000,-22.499674,12.596581
27830000000,-22.74559,144.62032
27885000000,-22.652376,-81.447456
27940000000,-22.296509,48.158558
27995000000,-22.373072,176.14351
28050000000,-22.874561,-52.45739
28105000000,-22.940157,80.822174
28160000000,-22.780111,-147.55367
28215000000,-22.725275,-18.208786
28270000000,-22.861721,112.4227
28325000000,-22.944183,-116.2598
28380000000,-23.005409,14.960165
28435000000,-22.871752,146.27974
28490000000,-23.04431,-83.303307
28545000000,-23.113892,48.497967
28600000000,-23.168583,179.37628
28655000000,-23.051764,-49.693752
28710000000,-23.000937,81.504913
28765000000,-22.955111,-147.11623
28820000000,-23.015411,-16.758995
28875000000,-23.046366,114.24706
28930000000,-23.0158,-113.31129
28985000000,-23.143383,18.248873
29040000000,-23.154343,150.12457
29095000000,-23.081884,-80.162766
29150000000,-22.981741,51.013489
29205000000,-23.190147,-177.98724
29260000000,-23.150023,-44.97699
29315000000,-22.966961,85.602707
29370000000,-22.90563,-144.03122
29425000000,-23.075287,-13.44057
29480000000,-23.261166,120.76832
29535000000,-22.942152,-109.47211
29590000000,-22.769075,20.922174
29645000000,-22.78232,152.16106
29700000000,-22.805079,-76.385246
29755000000,-22.699615,53.98254
29810000000,-22.546066,-173.98547
29865000000,-22.266344,-44.605343
29920000000,-22.593927,86.229843
29975000000,-22.811613,-142.38263
30030000000,-22.557503,-9.2394114
30085000000,-22.256178,122.11963
30140000000,-22.208357,-107.51218
30195000000,-22.384266,22.54854
30250000000,-22.463428,154.97859
30305000000,-22.351542,-73.832344
30360000000,-22.480423,57.550247
30415000000,-22.430387,-171.97197
30470000000,-22.369678,-40.760536
30525000000,-22.393511,89.763474
30580000000,-22.4783,-137.2489
30635000000,-22.530342,-7.331481
30690000000,-22.444731,123.57559
30745000000,-22.532936,-104.54315
30800000000,-22.645508,27.737455
30855000000,-22.415501,158.99228
30910000000,-22.532873,-71.418648
30965000000,-22.309935,60.618382
31020000000,-22.520409,-167.66515
31075000000,-22.521387,-37.706608
31130000000,-22.235783,95.306503
31185000000,-22.260511,-134.42383
31240000000,-22.154461,-2.7263768
31295000000,-22.64731,127.65491
31350000000,-22.458403,-99.439758
