!CSV A.01.01
!Keysight Technologies,N5224B,MY57181201,A.12.70.07
!Date: Friday, July 15, 2022 12:01:37
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21(DB),S21(DEG)
22000000000,-67.105705,167.13744
22055000000,-67.217674,172.56396
22110000000,-61.936314,-63.198471
22165000000,-63.379246,95.501663
22220000000,-63.895111,-145.13402
22275000000,-74.155975,-60.180504
22330000000,-65.656326,37.71986
22385000000,-63.189388,-50.608513
22440000000,-67.543694,66.344002
22495000000,-70.259628,106.25922
22550000000,-78.583817,-135.86375
22605000000,-68.439674,-169.57993
22660000000,-63.402351,-113.00272
22715000000,-61.25655,-9.1315889
22770000000,-67.095818,53.404163
22825000000,-66.139328,-83.024406
22880000000,-65.466507,61.721851
22935000000,-70.21006,-105.20662
22990000000,-60.073223,-16.495922
23045000000,-70.899323,158.58598
23100000000,-61.589691,154.94556
23155000000,-68.052887,41.096462
23210000000,-58.971668,135.14348
23265000000,-61.396954,-94.839584
23320000000,-59.545078,-30.133644
23375000000,-67.370811,13.084071
23430000000,-61.731064,-102.40769
23485000000,-65.980644,-40.880135
23540000000,-58.178162,134.75452
23595000000,-57.64579,-124.61124
23650000000,-67.532837,17.867037
23705000000,-63.904583,153.2345
23760000000,-58.216507,-57.254555
23815000000,-62.931675,34.066479
23870000000,-63.025475,-168.53712
23925000000,-62.210358,-66.753609
23980000000,-63.283928,68.835915
24035000000,-66.782074,-141.77864
24090000000,-59.162659,17.270739
24145000000,-62.297508,99.052261
24200000000,-62.677509,-107.42877
24255000000,-61.340561,-30.432127
24310000000,-64.950905,151.62598
24365000000,-70.75145,-96.711037
24420000000,-59.719982,7.8470926
24475000000,-61.351196,100.67654
24530000000,-62.781345,-130.59229
24585000000,-61.765858,42.901463
24640000000,-56.148632,169.42278
24695000000,-57.354256,-62.188183
24750000000,-57.418686,26.23992
24805000000,-68.702057,174.57985
24860000000,-57.73954,-116.78326
24915000000,-64.6772,72.282158
24970000000,-55.612179,-149.78127
25025000000,-61.323593,-56.056698
25080000000,-57.034237,104.60416
25135000000,-63.919895,-126.73074
25190000000,-70.913376,42.604435
25245000000,-65.506294,-23.347214
25300000000,-62.660686,-89.671127
