!CSV A.01.01
!Keysight Technologies,N5224B,MY57181201,A.12.70.07
!Date: Friday, July 15, 2022 11:48:21
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S22(DB),S22(DEG)
22000000000,-18.56193,-23.273746
22055000000,-20.800505,-47.411896
22110000000,-13.251437,-43.432846
22165000000,-21.066803,-23.098095
22220000000,-16.748859,-46.908577
22275000000,-13.947995,-22.650076
22330000000,-18.426718,-48.643242
22385000000,-14.533371,-30.054956
22440000000,-16.268736,-2.3229589
22495000000,-15.061069,-48.259674
22550000000,-14.1951,-17.285007
22605000000,-19.311733,-4.3846669
22660000000,-13.786995,-28.10593
22715000000,-15.208454,-9.2334051
22770000000,-18.494814,-20.069517
22825000000,-13.710258,-7.21313
22880000000,-16.975033,-3.9331789
22935000000,-16.396646,-26.844841
22990000000,-14.166514,8.5812836
23045000000,-17.959621,-1.1269845
23100000000,-15.38442,-22.911827
23155000000,-16.228424,18.297773
23210000000,-18.697287,-0.23458426
23265000000,-15.226218,-6.5878634
23320000000,-21.988363,17.064524
23375000000,-17.823534,-1.2119373
23430000000,-15.517002,12.175124
23485000000,-26.795176,-24.294437
23540000000,-18.501522,-0.86163282
23595000000,-17.572485,31.129602
23650000000,-21.274971,-39.093758
23705000000,-21.891993,7.7920952
23760000000,-25.554993,25.15221
23815000000,-19.948473,-14.152065
23870000000,-30.524536,10.517865
23925000000,-28.762211,-57.945766
23980000000,-21.303253,3.9911182
24035000000,-29.397636,-67.518364
24090000000,-25.908762,-60.885494
24145000000,-32.73391,-38.878311
24200000000,-22.268469,-55.869591
24255000000,-29.132654,-96.326279
24310000000,-22.3195,-108.20106
24365000000,-22.528395,-34.474365
24420000000,-22.694391,-106.57736
24475000000,-19.964483,-92.946609
24530000000,-31.288219,-77.766983
24585000000,-17.738136,-80.71962
24640000000,-21.488819,-71.635506
24695000000,-20.403122,-124.90845
24750000000,-16.262203,-66.331139
24805000000,-21.923174,-76.411743
24860000000,-16.135803,-106.06109
24915000000,-18.88203,-58.451756
24970000000,-17.889864,-92.368675
25025000000,-15.708193,-79.417297
25080000000,-23.241398,-90.638306
25135000000,-15.447154,-83.226799
25190000000,-16.350313,-61.418716
25245000000,-18.940292,-102.31604
25300000000,-15.972404,-70.932953
25355000000,-17.860336,-67.203247
25410000000,-16.295328,-81.094055
25465000000,-20.055462,-64.278267
25520000000,-17.336285,-70.763931
25575000000,-15.494309,-60.100941
25630000000,-20.113323,-77.173897
25685000000,-18.743368,-62.778893
25740000000,-17.852669,-56.007763
25795000000,-17.129616,-70.226204
25850000000,-22.694376,-43.940571
25905000000,-19.941336,-68.203972
25960000000,-16.685467,-51.050976
26015000000,-28.207619,-47.94973
26070000000,-19.877897,-56.542114
26125000000,-20.267138,-35.050518
26180000000,-22.131889,-88.678543
26235000000,-19.850636,-14.276185
26290000000,-31.731035,-31.360769
26345000000,-18.671698,-69.524399
26400000000,-22.293776,16.908655
26455000000,-31.673597,-110.13258
26510000000,-20.324402,-49.576084
26565000000,-39.377903,103.56557
26620000000,-25.966957,-72.88044
26675000000,-24.294201,19.567375
26730000000,-24.009428,-145.7961
26785000000,-25.97562,-46.759876
26840000000,-23.455177,89.31913
26895000000,-25.004374,-117.19213
26950000000,-35.596394,-15.052057
27005000000,-25.700502,150.90526
27060000000,-34.53038,-56.646763
27115000000,-28.584917,164.67336
27170000000,-24.154293,-152.2897
27225000000,-36.564884,55.232574
27280000000,-23.558205,173.94582
27335000000,-22.301754,-140.71574
27390000000,-33.791996,158.48637
27445000000,-24.640486,-169.51465
27500000000,-21.976871,-143.85818
27555000000,-23.75202,-173.57175
27610000000,-24.32983,-140.30046
27665000000,-24.061922,-138.70917
27720000000,-18.871241,-163.9809
27775000000,-21.674015,-127.89253
27830000000,-28.576637,-145.87813
27885000000,-18.135267,-147.48911
27940000000,-20.811348,-125.57735
27995000000,-22.672043,-147.02917
28050000000,-19.176071,-123.10919
28105000000,-21.056316,-144.99225
28160000000,-18.359566,-133.51147
28215000000,-22.051723,-92.911293
28270000000,-19.06983,-148.52681
28325000000,-17.59306,-123.99394
28380000000,-25.381187,-126.10426
28435000000,-18.882866,-119.31764
28490000000,-21.845535,-117.54691
28545000000,-20.101141,-145.00055
28600000000,-19.296741,-84.100632
28655000000,-26.060909,-148.09254
28710000000,-18.182268,-128.35751
28765000000,-23.736824,-60.190292
28820000000,-21.813503,-133.93475
28875000000,-21.600508,-91.08709
28930000000,-29.389969,-179.06784
28985000000,-19.081934,-98.675346
29040000000,-29.573772,-16.271048
29095000000,-21.39271,-169.55186
29150000000,-20.750616,-62.640545
29205000000,-31.388897,110.54726
29260000000,-24.20159,-122.5022
29315000000,-26.664299,37.175755
29370000000,-24.998123,-170.03519
29425000000,-24.266357,-22.695644
29480000000,-21.3659,115.60406
29535000000,-28.540941,-114.15662
29590000000,-22.396845,38.688568
29645000000,-21.752995,143.58374
29700000000,-24.823242,46.68219
29755000000,-22.475994,104.81256
29810000000,-52.57412,-54.933109
29865000000,-17.698824,88.877769
29920000000,-24.787489,130.70993
29975000000,-25.053066,41.081158
30030000000,-18.580124,119.46669
30085000000,-22.0944,91.163406
30140000000,-19.999582,94.832924
30195000000,-27.837164,139.82242
30250000000,-18.102654,88.778717
30305000000,-18.641439,129.47778
30360000000,-25.234221,58.737495
30415000000,-17.595083,109.64625
30470000000,-25.259169,120.52227
30525000000,-18.327656,92.287636
30580000000,-22.254618,161.437
30635000000,-21.751774,63.107273
30690000000,-16.034901,125.97536
30745000000,-29.849812,-96.23951
30800000000,-18.015129,94.847084
30855000000,-19.819862,161.61159
30910000000,-21.551094,42.728031
30965000000,-18.448807,152.80493
31020000000,-28.629385,-52.082417
31075000000,-17.525974,90.409546
31130000000,-18.784231,-142.99722
31185000000,-21.802891,18.341877
31240000000,-18.568485,141.64888
31295000000,-20.605862,-61.922024
31350000000,-23.390657,100.83446
31405000000,-21.37586,-121.52502
31460000000,-18.540525,11.553394
31515000000,-19.82708,-169.50296
31570000000,-18.153536,-55.601345
31625000000,-22.268612,61.483295
31680000000,-18.176542,-99.06588
31735000000,-20.034687,-12.648898
31790000000,-23.797611,-133.01871
31845000000,-16.993286,-34.825142
31900000000,-36.112514,78.583183
31955000000,-16.639008,-81.555824
32010000000,-18.454796,4.5868549
32065000000,-24.105917,-102.99447
32120000000,-16.420719,-34.939323
32175000000,-34.146915,-19.63443
32230000000,-16.958172,-48.895668
32285000000,-20.554966,7.9413347
32340000000,-19.159283,-91.05291
32395000000,-15.963634,-14.284408
32450000000,-33.822098,19.934998
32505000000,-17.010771,-55.417377
32560000000,-21.648048,25.184959
32615000000,-21.254236,-57.959709
32670000000,-17.764502,-2.1185372
32725000000,-33.520687,-160.2188
32780000000,-16.838953,-29.292974
32835000000,-20.031902,40.888081
