!CSV A.01.01
!Keysight Technologies,N5224B,MY57181201,A.12.70.07
!Date: Friday, July 15, 2022 16:13:10
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(DB),S11(DEG)
22000000000,-19.708803,165.59319
22013750000,-15.857028,79.450752
22027500000,-15.278644,1.913757
22041250000,-18.019968,-91.912476
22055000000,-17.221027,149.89626
22068750000,-14.554321,57.454453
22082500000,-13.500974,-21.533585
22096250000,-14.461297,-102.78469
22110000000,-16.356785,129.90594
22123750000,-14.430061,49.070248
22137500000,-15.878819,-32.344517
22151250000,-18.537054,-134.65921
22165000000,-16.439035,112.32237
22178750000,-14.784788,32.923546
22192500000,-15.598697,-40.573963
22206250000,-19.592854,-118.31005
22220000000,-17.858677,97.40921
22233750000,-17.364704,20.222528
22247500000,-17.913542,-53.332874
22261250000,-20.1008,-123.83468
22275000000,-21.029448,92.839935
22288750000,-20.079514,35.119915
22302500000,-22.351715,-18.501602
22316250000,-28.184372,-93.327812
22330000000,-23.271193,113.92627
22343750000,-19.198498,48.765541
22357500000,-17.583664,-13.678386
22371250000,-18.08448,-82.089401
22385000000,-20.794527,134.38297
22398750000,-16.783796,56.502033
22412500000,-15.366975,-19.428902
22426250000,-16.530142,-99.644058
22440000000,-17.187784,133.23837
22453750000,-14.271144,52.082611
22467500000,-14.470115,-24.432743
22481250000,-17.040331,-119.11121
22495000000,-15.127653,119.19668
22508750000,-13.431979,33.417377
22522500000,-12.926123,-51.213966
22536250000,-13.556953,-137.56625
22550000000,-14.070538,103.22498
22563750000,-13.476471,25.509243
22577500000,-15.804189,-62.271294
22591250000,-17.260405,-175.78439
22605000000,-14.042905,86.79274
22618750000,-13.458742,7.7558908
22632500000,-15.504661,-73.318054
22646250000,-20.305347,-166.13905
22660000000,-14.805152,71.102325
22673750000,-15.24024,-9.3407173
22687500000,-17.398579,-89.807632
22701250000,-20.99806,-176.33427
22715000000,-16.900894,59.665291
22728750000,-19.419537,-5.7334881
22742500000,-27.344246,-92.024513
22756250000,-26.915298,112.49884
22770000000,-19.463451,59.927711
22783750000,-20.396503,2.1815581
