!CSV A.01.01
!Keysight Technologies,N5224B,MY57181201,A.12.70.07
!Date: Friday, July 15, 2022 16:07:04
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21(DB),S21(DEG)
22000000000,-24.421436,68.907761
22013750000,-24.593054,-33.187927
22027500000,-24.673651,-136.16455
22041250000,-24.62792,122.10172
22055000000,-24.487511,19.939754
22068750000,-24.57876,-83.284996
22082500000,-24.391071,175.30721
22096250000,-24.383089,71.959511
22110000000,-24.810728,-30.199501
22123750000,-24.612238,-131.63968
22137500000,-24.531681,126.1632
22151250000,-24.495863,23.370279
22165000000,-24.554249,-79.580437
22178750000,-24.611851,178.9776
22192500000,-24.297976,77.756599
22206250000,-24.317972,-25.932934
22220000000,-24.475258,-129.51622
22233750000,-24.664013,128.24042
22247500000,-24.621435,26.527763
22261250000,-24.598055,-76.781555
22275000000,-24.468533,-179.17349
22288750000,-24.580769,79.127144
22302500000,-24.477636,-22.468395
22316250000,-24.152269,-125.71889
22330000000,-24.535122,131.30127
22343750000,-24.565886,29.263788
22357500000,-24.58386,-74.020927
22371250000,-24.656502,-175.76955
22385000000,-24.557001,81.73336
22398750000,-24.646374,-18.43099
22412500000,-24.209019,-120.77082
22426250000,-24.271629,135.07593
22440000000,-24.704309,32.956963
22453750000,-24.590969,-69.245209
22467500000,-24.593414,-171.81413
22481250000,-24.717026,84.695847
22495000000,-24.66329,-16.753181
22508750000,-24.514713,-117.33195
22522500000,-24.412493,140.86285
22536250000,-24.300684,36.666355
22550000000,-24.725695,-66.039276
22563750000,-24.66708,-166.25166
22577500000,-24.481241,89.27951
22591250000,-24.659979,-13.082377
22605000000,-24.557285,-115.19424
22618750000,-24.591681,143.76128
22632500000,-24.270227,42.024506
22646250000,-24.177961,-61.444881
22660000000,-24.490538,-164.06712
22673750000,-24.272924,94.144943
22687500000,-24.121588,-8.526906
22701250000,-23.969313,-111.75904
22715000000,-24.303493,146.1496
22728750000,-24.281921,44.314892
22742500000,-24.138617,-58.565418
22756250000,-24.264671,-161.28105
22770000000,-24.45056,95.892303
22783750000,-24.364351,-6.7479186
22797500000,-24.410212,-110.41638
22811250000,-24.77849,146.97505
22825000000,-24.661842,47.284286
22838750000,-24.652946,-55.173248
22852500000,-24.561834,-157.01753
22866250000,-24.368231,100.67809
22880000000,-24.692472,-2.1799622
22893750000,-24.444124,-103.72463
22907500000,-24.459692,153.2308
22921250000,-24.748426,51.694061
22935000000,-24.405315,-50.639
22948750000,-24.63139,-152.4951
22962500000,-24.489403,104.35216
22976250000,-24.625708,0.81855625
22990000000,-24.611059,-100.25721
23003750000,-24.462904,157.02975
23017500000,-24.336983,55.524448
23031250000,-24.482458,-46.612038
23045000000,-24.638475,-148.0994
23058750000,-24.456179,108.81941
23072500000,-24.609047,7.5834327
23086250000,-24.269827,-94.698204
23100000000,-24.50218,163.10822
23113750000,-24.374556,60.13393
23127500000,-24.44408,-43.345032
23141250000,-24.697594,-143.74464
23155000000,-24.347857,113.75809
23168750000,-24.325413,10.417156
23182500000,-24.547682,-92.213295
23196250000,-24.662251,165.39754
23210000000,-24.321503,63.273392
23223750000,-24.196411,-39.298271
23237500000,-24.308439,-142.94032
23251250000,-24.454798,115.65293
23265000000,-24.582554,14.401814
23278750000,-24.51338,-89.827553
23292500000,-24.664928,168.8275
23306250000,-24.544304,67.101723
23320000000,-24.674007,-34.31797
23333750000,-24.3311,-136.66179
23347500000,-24.435799,119.57554
23361250000,-24.538204,18.87561
23375000000,-24.413822,-83.71283
23388750000,-24.66992,172.87238
23402500000,-24.627935,71.014183
23416250000,-24.754717,-31.981989
23430000000,-24.604294,-133.31436
23443750000,-24.556498,123.31276
23457500000,-24.851164,22.283701
23471250000,-24.740276,-78.714966
23485000000,-24.694519,179.12053
23498750000,-24.530231,75.939819
23512500000,-24.998085,-27.6607
23526250000,-25.027397,-126.9256
23540000000,-24.643171,130.56013
23553750000,-24.666798,28.012657
23567500000,-24.571953,-74.708656
23581250000,-24.810057,-176.13376
23595000000,-24.590002,82.782326
23608750000,-24.615639,-21.934385
23622500000,-24.802395,-123.66082
23636250000,-24.638454,135.54013
23650000000,-24.598856,33.430756
23663750000,-24.368782,-70.563347
23677500000,-24.518015,-172.22635
23691250000,-24.295952,86.142143
23705000000,-24.689754,-17.350773
23718750000,-24.638657,-119.38425
23732500000,-24.85149,137.24062
23746250000,-24.977827,36.625214
23760000000,-24.734669,-66.017654
23773750000,-24.969364,-167.15817
23787500000,-24.671509,91.727997
23801250000,-24.775791,-10.441792
23815000000,-24.695751,-112.3973
23828750000,-24.685474,142.67743
23842500000,-25.123993,42.950504
23856250000,-24.675991,-58.362415
23870000000,-24.579805,-162.34433
23883750000,-24.559052,96.657379
23897500000,-24.561371,-7.798295
23911250000,-24.740068,-108.98235
23925000000,-24.553677,149.07793
23938750000,-24.54854,45.736469
23952500000,-24.663857,-56.402164
23966250000,-24.718468,-158.10892
23980000000,-24.645229,99.736816
23993750000,-24.665022,-2.2459171
24007500000,-24.514614,-103.60438
24021250000,-24.348795,153.37498
24035000000,-24.947767,52.120018
24048750000,-24.574844,-49.445534
24062500000,-24.592672,-152.57545
24076250000,-24.507118,106.93042
24090000000,-24.639753,2.5211649
24103750000,-24.700834,-97.839638
24117500000,-24.573023,159.02773
24131250000,-24.728716,56.697239
24145000000,-24.396929,-45.28241
24158750000,-24.768047,-149.8054
24172500000,-24.886446,109.74908
24186250000,-24.741304,7.2964854
24200000000,-24.891197,-95.410439
24213750000,-24.737793,163.386
24227500000,-24.871565,61.290348
24241250000,-24.950142,-38.947704
24255000000,-24.651915,-140.40657
24268750000,-24.631092,117.13654
24282500000,-24.575417,13.832504
24296250000,-24.461128,-86.921883
24310000000,-24.497721,170.64923
24323750000,-24.396515,68.112343
24337500000,-24.067156,-34.56551
24351250000,-24.227222,-138.58363
24365000000,-24.500771,120.3931
24378750000,-24.404348,16.818085
24392500000,-24.75374,-85.187317
24406250000,-24.672325,173.77383
24420000000,-24.47994,70.612305
24433750000,-24.683338,-31.470848
24447500000,-24.806623,-133.29195
24461250000,-24.861113,125.2197
24475000000,-24.682638,23.07538
24488750000,-24.866714,-78.428627
24502500000,-24.83947,-179.30238
24516250000,-24.689281,78.52729
24530000000,-24.518066,-24.344719
24543750000,-24.626278,-127.93933
24557500000,-24.645514,130.59685
24571250000,-24.500925,29.491945
24585000000,-24.622032,-73.090927
24598750000,-24.390713,-176.80559
24612500000,-24.623268,81.961456
24626250000,-24.419138,-19.010166
24640000000,-24.618759,-123.28111
24653750000,-24.699329,135.82135
24667500000,-24.688623,33.118675
24681250000,-24.922907,-67.538963
24695000000,-24.731308,-168.65781
24708750000,-24.762995,88.007172
24722500000,-24.875908,-12.581047
24736250000,-24.761692,-115.05473
24750000000,-24.481178,143.12067
24763750000,-24.302891,40.068806
24777500000,-24.482813,-61.572491
24791250000,-24.377636,-163.28883
24805000000,-24.331528,92.775543
24818750000,-24.345013,-10.221698
24832500000,-24.671461,-113.47624
24846250000,-24.704889,146.59772
24860000000,-24.388788,43.312851
24873750000,-24.432673,-58.685738
24887500000,-24.486685,-160.63374
24901250000,-24.433516,97.986145
24915000000,-24.398222,-4.4796586
24928750000,-24.575041,-107.59406
24942500000,-24.623941,151.63768
24956250000,-24.326025,50.06599
24970000000,-24.520296,-51.977512
24983750000,-24.441223,-154.80388
24997500000,-24.510139,103.42847
25011250000,-24.410784,2.2038965
25025000000,-24.435217,-100.30779
25038750000,-24.411144,157.11981
25052500000,-24.592285,54.402882
25066250000,-24.437746,-46.387218
25080000000,-24.417183,-149.89136
25093750000,-24.592476,108.30473
25107500000,-24.541138,7.1568604
25121250000,-24.801641,-95.293755
25135000000,-24.48245,163.37766
25148750000,-24.68836,59.956726
25162500000,-24.831951,-39.799248
25176250000,-24.515856,-142.48349
25190000000,-24.474871,115.60261
25203750000,-24.185329,13.371017
25217500000,-24.203808,-89.158264
25231250000,-23.935427,170.22154
25245000000,-24.160109,65.557655
25258750000,-24.253366,-36.257645
25272500000,-24.105774,-137.88039
25286250000,-23.965857,120.34539
25300000000,-24.065252,16.987566
25313750000,-24.308094,-85.386139
25327500000,-24.197332,173.1026
25341250000,-24.323881,70.294556
