!CSV A.01.01
!Keysight Technologies,N5224B,MY57181201,A.12.70.07
!Date: Friday, July 15, 2022 16:15:54
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S22(DB),S22(DEG)
22000000000,-23.754913,126.48412
22013750000,-20.895897,71.952583
22027500000,-23.007177,4.6678123
22041250000,-29.288492,-104.61013
22055000000,-23.082644,129.40047
22068750000,-20.193697,52.37413
22082500000,-20.288692,-17.842901
22096250000,-22.589708,-108.17022
22110000000,-21.971178,129.05479
22123750000,-18.330486,42.982285
22137500000,-16.450432,-31.853601
22151250000,-15.33124,-107.76634
22165000000,-21.722206,127.11289
22178750000,-17.991959,48.212032
22192500000,-17.20672,-22.027027
22206250000,-17.631395,-92.717918
22220000000,-21.11585,119.75732
22233750000,-19.349529,51.458508
22247500000,-21.647188,-28.558683
22261250000,-23.94474,-130.88927
22275000000,-20.333323,118.69402
22288750000,-18.046612,48.566097
22302500000,-19.317432,-26.269926
22316250000,-22.928638,-121.28538
22330000000,-20.047377,116.90127
22343750000,-18.572384,51.478718
22357500000,-20.925632,-29.153826
22371250000,-24.443045,-143.64221
22385000000,-19.278923,107.44669
22398750000,-18.997204,39.805912
22412500000,-21.672932,-42.99461
22426250000,-22.732016,-164.38208
22440000000,-18.698677,103.61665
22453750000,-17.538834,33.814915
22467500000,-19.69253,-40.291424
22481250000,-23.402182,-148.37268
22495000000,-19.049143,101.60706
22508750000,-18.056278,39.591084
22522500000,-22.009575,-31.682293
22536250000,-26.03023,-164.58293
22550000000,-19.009544,93.462318
22563750000,-19.417738,30.737389
22577500000,-24.172186,-65.434494
22591250000,-22.285686,165.20457
22605000000,-17.849255,86.779793
22618750000,-17.359682,18.995806
22632500000,-20.189674,-64.743637
22646250000,-22.586498,175.44804
22660000000,-18.022968,84.014503
22673750000,-18.32983,24.08672
22687500000,-24.469933,-54.597477
22701250000,-24.819349,148.67241
22715000000,-18.516676,75.366928
22728750000,-19.337702,16.056812
22742500000,-26.424658,-49.742565
22756250000,-29.467995,98.155479
22770000000,-17.884865,68.26519
22783750000,-19.390873,-3.4132602
22797500000,-22.745556,-99.271591
22811250000,-21.301661,146.47423
22825000000,-17.57967,65.658623
22838750000,-19.870394,-0.55298311
22852500000,-25.434671,-97.744255
22866250000,-22.096975,129.22997
22880000000,-18.09738,57.644161
22893750000,-20.092117,-24.860092
22907500000,-21.932238,-124.9255
22921250000,-20.67374,131.98952
22935000000,-18.431046,46.984871
22948750000,-21.742411,-32.642193
22962500000,-22.623928,-148.98296
22976250000,-19.422527,114.69528
22990000000,-18.369507,44.364079
23003750000,-21.676805,-24.348099
23017500000,-26.360451,-145.41263
23031250000,-21.275097,105.54433
23045000000,-18.656736,39.492931
23058750000,-25.152615,-39.399822
23072500000,-24.167032,172.39842
23086250000,-19.114777,89.170204
23100000000,-18.821301,30.713011
23113750000,-24.219004,-74.02681
23127500000,-20.696344,164.85539
23141250000,-17.983463,91.149109
23155000000,-18.796547,24.077015
23168750000,-24.590748,-64.977219
23182500000,-24.764593,162.67757
23196250000,-20.113811,78.749893
23210000000,-19.939161,17.237396
23223750000,-29.475306,-48.732964
23237500000,-25.773552,96.390587
23251250000,-18.927641,33.053303
23265000000,-20.32943,9.9007444
23278750000,-25.325058,-126.09966
23292500000,-18.636652,140.72824
23306250000,-17.002859,74.963448
23320000000,-20.550995,5.1577106
23333750000,-24.523739,-97.011826
23347500000,-22.732924,147.5168
23361250000,-20.875183,65.277443
23375000000,-21.331495,-1.6436391
23388750000,-25.978413,-111.74564
23402500000,-25.269541,139.39439
23416250000,-23.764013,49.224285
23430000000,-22.52533,-9.4841967
23443750000,-24.102201,-136.23877
23457500000,-21.633778,127.09556
23471250000,-20.588102,55.469421
23485000000,-23.509501,-12.828123
23498750000,-24.72047,-143.01273
23512500000,-21.841732,123.10622
23526250000,-20.978352,52.965904
23540000000,-25.06378,-18.604158
23553750000,-28.661207,-166.03215
23567500000,-21.958342,95.809578
23581250000,-21.322193,30.853243
23595000000,-25.676174,-33.178795
23608750000,-22.011633,155.8264
23622500000,-17.221855,92.243706
23636250000,-18.124567,35.851143
23650000000,-26.861115,-35.882656
23663750000,-23.057756,-179.9447
23677500000,-19.638226,111.93366
23691250000,-21.608746,49.728275
23705000000,-30.093616,-33.881947
23718750000,-28.030764,148.1922
23732500000,-23.059729,82.204803
23746250000,-23.279568,17.844809
23760000000,-32.687065,-38.606659
23773750000,-23.638874,125.30762
23787500000,-18.56254,65.218399
23801250000,-18.301405,8.6915359
23815000000,-32.555428,-30.324873
23828750000,-23.561611,143.65829
23842500000,-18.978333,80.794624
23856250000,-18.300392,27.233526
23870000000,-37.294304,5.696063
23883750000,-28.3806,131.77264
23897500000,-23.536661,71.38324
23911250000,-26.112576,22.281437
23925000000,-46.652973,37.669376
23938750000,-27.468945,129.40433
23952500000,-23.681791,75.440376
23966250000,-26.25111,22.941648
23980000000,-38.582478,5.9820185
23993750000,-26.682198,98.237473
24007500000,-20.59952,44.771114
24021250000,-17.899652,-13.416726
24035000000,-32.990028,30.042807
24048750000,-29.992599,136.03024
24062500000,-25.563419,95.538681
24076250000,-26.207067,52.773087
24090000000,-32.159855,49.365257
24103750000,-26.730164,111.00434
24117500000,-23.137592,77.139977
24131250000,-23.977858,37.216339
24145000000,-33.136711,40.44508
24158750000,-29.54538,151.6275
24172500000,-24.66457,103.52136
24186250000,-24.283518,55.668587
24200000000,-30.051853,28.325153
24213750000,-29.462486,169.72461
24227500000,-23.000824,118.85382
24241250000,-22.51841,70.067261
24255000000,-28.851328,29.214737
24268750000,-32.390522,141.48993
24282500000,-23.638247,95.991081
24296250000,-22.901249,52.355843
24310000000,-29.597763,21.986647
24323750000,-26.112148,151.92865
24337500000,-19.513681,102.75011
24351250000,-20.172314,54.231312
24365000000,-27.889137,7.491981
24378750000,-24.816874,-175.16663
24392500000,-19.427605,120.45545
24406250000,-19.486799,65.683762
24420000000,-26.781309,2.7052984
24433750000,-30.332001,-166.53464
24447500000,-23.734646,115.29082
24461250000,-22.971186,51.843197
24475000000,-27.267174,0.69941622
24488750000,-36.743671,158.28374
24502500000,-24.704865,51.606842
24516250000,-19.85128,-19.118565
24530000000,-27.778708,-12.974968
24543750000,-27.412191,164.59149
24557500000,-19.728355,78.789917
24571250000,-16.564859,8.8541574
24585000000,-27.357082,-16.793505
24598750000,-24.393784,-157.41684
24612500000,-21.38261,117.86723
24626250000,-21.689592,49.755287
24640000000,-27.730501,-33.665604
24653750000,-24.61797,173.85934
24667500000,-19.831511,97.949135
24681250000,-20.490143,33.324997
24695000000,-27.72121,-41.516197
24708750000,-22.1514,179.46367
24722500000,-19.221216,105.64404
24736250000,-20.720955,39.511581
24750000000,-28.083012,-47.070866
24763750000,-22.445753,-179.74118
24777500000,-19.809692,109.23947
24791250000,-21.645447,38.998951
24805000000,-29.173141,-57.906952
24818750000,-22.3615,159.18384
24832500000,-19.149004,86.196976
24846250000,-20.148733,19.864531
24860000000,-28.105595,-74.463676
24873750000,-19.605404,157.97984
24887500000,-17.038847,92.247986
24901250000,-19.046827,26.96752
24915000000,-30.213793,-81.878685
24928750000,-20.109211,153.94481
24942500000,-16.443905,83.805244
24956250000,-16.148001,22.978081
24970000000,-31.142521,-103.16708
24983750000,-22.228296,153.01385
24997500000,-19.78179,85.254433
25011250000,-22.187218,14.900241
25025000000,-29.823154,-110.36475
25038750000,-22.921652,130.37631
25052500000,-18.338898,48.870647
25066250000,-16.42256,-24.846939
25080000000,-28.801367,-107.08161
25093750000,-21.359325,134.69359
25107500000,-17.54541,62.703495
25121250000,-16.285086,-6.7638054
25135000000,-31.786173,-138.95958
25148750000,-22.130936,144.19962
25162500000,-21.181049,80.34639
25176250000,-26.245525,8.2148056
25190000000,-30.291149,-152.0242
25203750000,-20.546356,132.0891
25217500000,-19.70591,73.541229
25231250000,-23.093937,8.5211258
25245000000,-31.887896,-153.03909
25258750000,-23.833067,135.57961
25272500000,-22.22187,58.668449
25286250000,-22.863573,-18.47896
25300000000,-33.152817,-170.28561
25313750000,-21.925253,135.35765
25327500000,-20.599749,79.331436
25341250000,-23.060085,22.10829
25355000000,-28.360958,168.88901
25368750000,-22.177265,125.51846
25382500000,-21.290047,70.450317
25396250000,-26.882631,17.33584
25410000000,-29.708817,172.39912
