!CSV A.01.01
!Keysight Technologies,N5224B,MY57181201,A.12.70.07
!Date: Wednesday, July 20, 2022 17:04:59
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(DB),S11(DEG)
17000000000,-0.020447396,-73.602272
17080000000,-0.11301696,13.417558
17160000000,-0.30418161,105.3993
17240000000,-0.13262154,-160.88881
17320000000,-0.38275141,-74.569756
17400000000,-0.46942645,5.5584345
17480000000,-0.71052921,93.14608
17560000000,-1.5071019,179.28226
17640000000,-2.727452,-96.60482
17720000000,-4.4775176,-14.763572
17800000000,-7.8404708,70.454567
17880000000,-11.141679,179.41476
17960000000,-10.875193,-57.390404
18040000000,-10.336218,49.854126
18120000000,-8.8510857,134.08994
18200000000,-7.9160609,-135.04933
18280000000,-6.413415,-49.20163
18360000000,-5.8408918,37.976604
18440000000,-5.5466838,124.29269
18520000000,-7.7695589,-146.04784
18600000000,-7.5005884,-58.802792
18680000000,-7.8099723,25.71237
18760000000,-9.2487974,118.0662
18840000000,-9.5428848,-142.27585
18920000000,-8.5525169,-53.181736
19000000000,-9.2171764,37.890526
19080000000,-8.6356268,121.40359
19160000000,-10.413814,-143.36461
19240000000,-9.4464607,-53.246986
19320000000,-8.7650862,21.921562
19400000000,-10.023114,109.53642
19480000000,-10.595476,-150.343
19560000000,-11.252178,-65.294876
19640000000,-11.478711,12.964437
19720000000,-14.159889,102.28612
19800000000,-16.781847,-161.24178
19880000000,-16.087976,-50.827282
19960000000,-15.058643,22.275652
20040000000,-20.29385,104.3829
20120000000,-22.220007,-111.6507
20200000000,-17.469927,-12.976716
20280000000,-18.157227,70.916222
20360000000,-19.360088,178.74043
20440000000,-16.565969,-81.816658
20520000000,-13.903996,0.88281941
20600000000,-14.089698,73.050537
20680000000,-15.962191,161.99597
20760000000,-14.478792,-92.135429
20840000000,-12.869016,-11.034708
20920000000,-12.798064,67.263596
21000000000,-13.401818,147.80627
21080000000,-14.823358,-135.77179
21160000000,-15.82658,-9.4657984
21240000000,-15.774736,69.497902
21320000000,-19.159733,145.60358
21400000000,-19.665279,-87.76693
21480000000,-15.762493,5.6833253
21560000000,-16.990747,73.788986
21640000000,-19.349077,168.11226
21720000000,-20.244432,-98.959869
21800000000,-18.823156,24.442539
21880000000,-20.87723,103.12553
21960000000,-24.812401,-150.2547
22040000000,-23.16987,-51.814732
22120000000,-21.309948,38.298119
22200000000,-17.141499,106.88236
22280000000,-20.193089,-154.358
22360000000,-17.797283,-44.669685
22440000000,-14.885945,32.408371
22520000000,-16.330324,100.3035
22600000000,-19.224417,175.20828
22680000000,-21.486629,-48.15947
22760000000,-18.184013,32.291531
22840000000,-17.22961,98.618332
22920000000,-22.841299,155.47334
23000000000,-24.986979,-49.923985
23080000000,-20.603149,14.341634
23160000000,-21.977442,61.088146
23240000000,-23.78512,113.94122
23320000000,-27.727415,-151.4567
23400000000,-23.947058,-36.254829
23480000000,-20.713989,36.58485
23560000000,-19.205221,90.155571
23640000000,-19.448162,146.80391
23720000000,-33.977623,57.224777
23800000000,-27.453573,45.127914
23880000000,-23.356245,62.399147
23960000000,-26.812222,94.124725
24040000000,-28.128677,53.717514
24120000000,-24.011011,72.630806
24200000000,-30.510954,107.8772
24280000000,-25.990091,-54.355927
24360000000,-22.994938,25.009384
24440000000,-21.427799,84.679489
24520000000,-26.009655,129.74063
24600000000,-40.881439,127.09749
24680000000,-23.459848,67.642319
24760000000,-17.58882,132.74747
24840000000,-23.242605,148.62096
24920000000,-27.951469,-80.820389
25000000000,-23.477303,33.641502
25080000000,-19.585096,87.126892
25160000000,-19.915752,143.91718
25240000000,-30.67757,103.95702
25320000000,-29.537169,74.814285
25400000000,-23.821114,107.53883
25480000000,-29.827419,105.73833
25560000000,-24.491238,37.001068
25640000000,-21.239927,94.525215
25720000000,-23.131342,177.86481
25800000000,-24.334597,-51.194561
25880000000,-20.317446,55.227242
25960000000,-18.899853,116.63533
26040000000,-20.077192,179.81848
26120000000,-27.608438,-65.27729
26200000000,-18.393717,49.91547
26280000000,-16.137245,108.69301
26360000000,-16.881573,163.35783
26440000000,-25.989298,-116.5121
26520000000,-18.048304,46.720375
26600000000,-16.196394,115.10115
26680000000,-16.760191,176.88968
26760000000,-26.980869,-102.93507
26840000000,-30.807446,50.190453
26920000000,-23.171936,163.95123
27000000000,-19.279037,158.69061
27080000000,-38.13171,-151.50888
27160000000,-26.659086,68.928261
27240000000,-27.329887,118.52219
27320000000,-45.482544,-138.66246
27400000000,-37.151146,46.896706
27480000000,-24.165863,160.96681
27560000000,-28.749241,156.59261
27640000000,-26.320906,106.61276
27720000000,-20.297836,132.49644
27800000000,-18.926788,172.82712
27880000000,-23.216478,-148.04291
27960000000,-29.057653,-65.347885
28040000000,-36.45256,28.292213
28120000000,-23.773088,165.65114
28200000000,-35.892212,-120.50067
28280000000,-24.949764,90.979889
28360000000,-20.476805,176.70403
28440000000,-17.683868,-112.48697
28520000000,-40.280842,-50.655998
28600000000,-22.843618,96.960663
28680000000,-18.911781,147.55817
28760000000,-19.129492,-145.81679
28840000000,-27.418312,-79.053314
28920000000,-32.319626,170.11296
29000000000,-17.499819,177.03967
29080000000,-22.182552,-117.75913
29160000000,-23.897383,27.042847
29240000000,-18.255476,109.06535
29320000000,-16.787872,178.99368
29400000000,-19.436886,-95.842896
29480000000,-20.069221,14.894057
29560000000,-17.881779,114.48909
29640000000,-18.6791,-174.38077
29720000000,-23.623503,-81.716217
29800000000,-24.922832,60.785549
29880000000,-19.92737,157.3107
29960000000,-17.855988,-135.78174
30040000000,-28.657679,-108.79003
30120000000,-27.794931,116.24105
30200000000,-20.67107,169.41237
30280000000,-23.08534,-137.43031
30360000000,-37.387947,-19.121664
30440000000,-23.865734,160.74507
30520000000,-20.215769,-154.87415
30600000000,-23.218504,-50.484547
