!CSV A.01.01
!Keysight Technologies,N5224B,MY57181201,A.12.70.07
!Date: Wednesday, July 20, 2022 17:13:00
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S22(DB),S22(DEG)
22000000000,-16.789566,76.236488
22055000000,-27.647358,84.415962
22110000000,-12.442675,70.414551
22165000000,-39.893459,-76.304245
22220000000,-18.159506,75.182884
22275000000,-17.354601,-175.03706
22330000000,-17.799074,95.821228
22385000000,-18.101629,-157.46333
22440000000,-18.371286,22.55064
22495000000,-19.50293,-141.36671
22550000000,-22.124807,5.6530924
22605000000,-22.223415,157.4158
22660000000,-17.39115,16.407362
22715000000,-22.303083,128.43344
22770000000,-25.721144,-46.881527
22825000000,-17.457392,161.47473
22880000000,-24.128868,-3.1826582
22935000000,-17.107374,70.276779
22990000000,-20.621637,-21.35779
23045000000,-18.516739,60.134537
23100000000,-29.636717,167.47572
23155000000,-14.91091,67.952248
23210000000,-22.837812,110.92558
23265000000,-17.721464,42.397545
23320000000,-18.143564,-178.97655
23375000000,-31.043777,153.91534
23430000000,-16.556566,162.83871
23485000000,-19.777885,-31.669466
23540000000,-25.603577,158.68317
23595000000,-18.843706,-72.470787
23650000000,-19.058573,147.4229
23705000000,-26.809786,-13.551595
23760000000,-23.754416,84.118103
23815000000,-17.985706,-55.564102
23870000000,-29.80365,44.724312
23925000000,-31.518263,-28.196657
23980000000,-18.561998,81.956444
24035000000,-22.936024,16.143305
24090000000,-20.729168,62.669765
24145000000,-29.845961,30.164837
24200000000,-18.264065,102.3246
24255000000,-21.249382,64.876488
24310000000,-16.885483,92.433273
24365000000,-27.532366,13.30653
24420000000,-18.783083,139.28357
24475000000,-25.942612,-159.84949
24530000000,-15.963042,119.52128
24585000000,-28.319567,-30.936007
24640000000,-25.248995,104.03336
24695000000,-18.081333,-95.404671
24750000000,-19.093767,106.82466
24805000000,-30.329647,-96.902039
24860000000,-16.4673,70.80558
24915000000,-21.324673,-108.56575
24970000000,-20.124506,107.43833
25025000000,-25.788677,-154.81873
25080000000,-15.595999,66.391464
25135000000,-40.179764,-40.826797
25190000000,-17.733461,48.150574
25245000000,-23.904966,172.53178
25300000000,-16.630434,81.799477
25355000000,-19.151567,136.77603
25410000000,-18.555548,87.565285
25465000000,-23.519299,167.5247
25520000000,-26.130163,138.59834
25575000000,-20.402739,-176.24768
25630000000,-21.357525,98.557541
25685000000,-31.092936,152.91341
25740000000,-30.394152,29.976038
25795000000,-21.8799,-118.31959
25850000000,-21.781693,108.89105
25905000000,-29.977913,177.3302
25960000000,-23.776188,74.742363
26015000000,-17.506304,-106.55629
26070000000,-36.602089,91.104362
26125000000,-24.502041,-171.98366
26180000000,-16.217354,61.909847
26235000000,-25.388611,-85.717819
26290000000,-18.424843,54.952423
26345000000,-19.634193,178.62688
26400000000,-14.891504,68.00679
26455000000,-19.713476,149.35806
26510000000,-17.099808,51.812939
26565000000,-15.62958,-176.97202
26620000000,-26.964695,9.9809399
26675000000,-17.058577,-178.22206
26730000000,-18.428326,9.5989838
26785000000,-17.461924,158.91302
26840000000,-20.351034,-32.620682
26895000000,-18.692198,165.15271
26950000000,-30.479246,-24.968056
27005000000,-16.656635,129.49983
27060000000,-24.997625,-59.6493
27115000000,-21.092144,160.47551
27170000000,-18.088049,-113.50115
