!CSV A.01.01
!Keysight Technologies,N5224B,MY57181201,A.12.70.07
!Date: Wednesday, July 20, 2022 16:59:33
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S12(DB),S12(DEG)
20000000000,-60.282982,-146.9119
20065000000,-58.556988,-20.731251
20130000000,-60.585205,70.302269
20195000000,-56.892239,127.18163
20260000000,-58.261795,-160.65378
20325000000,-54.889885,-84.227119
20390000000,-62.380848,4.9009943
20455000000,-73.642426,24.117668
20520000000,-61.115501,-156.29555
20585000000,-57.398132,-44.794731
20650000000,-56.33276,8.750556
20715000000,-55.872486,73.90416
20780000000,-59.445408,159.14836
20845000000,-57.290909,-127.41389
20910000000,-58.577755,-28.046553
20975000000,-63.131001,86.389359
21040000000,-55.892838,147.44817
21105000000,-53.800228,-137.62212
21170000000,-57.004547,-62.760212
21235000000,-53.868755,12.519003
21300000000,-54.78878,89.947044
21365000000,-61.081226,-178.67757
21430000000,-56.510994,-117.92519
21495000000,-54.918816,-21.519951
21560000000,-57.002819,71.467659
21625000000,-54.350285,169.49355
21690000000,-54.083012,-133.12958
21755000000,-60.460358,-25.998459
21820000000,-55.077553,44.15041
21885000000,-56.736115,138.90689
21950000000,-55.164639,-120.15092
22015000000,-53.863529,-54.431446
22080000000,-54.765438,18.58873
22145000000,-55.869072,113.17753
22210000000,-54.603409,168.28259
22275000000,-55.601444,-84.820137
22340000000,-57.431984,-24.287922
22405000000,-58.355095,56.514252
22470000000,-58.404869,159.09673
22535000000,-61.900478,-104.99032
22600000000,-61.731396,-25.891428
22665000000,-56.171738,90.686974
22730000000,-53.909992,137.23706
22795000000,-58.938629,-161.07539
22860000000,-63.510632,-64.778313
22925000000,-64.652359,101.13619
22990000000,-63.713348,159.74916
23055000000,-57.322891,-122.56033
23120000000,-56.207016,-63.611603
23185000000,-57.172806,11.887971
23250000000,-59.380886,77.854317
23315000000,-69.522079,152.6664
23380000000,-60.983097,-51.615578
23445000000,-61.172512,26.479219
23510000000,-59.925312,123.53809
23575000000,-60.118553,178.53716
23640000000,-63.90583,-72.922447
23705000000,-59.135914,46.739204
23770000000,-62.026752,74.423218
23835000000,-63.001614,-126.9912
23900000000,-65.587982,-52.430031
23965000000,-56.193516,0.62947059
24030000000,-59.180931,102.59328
24095000000,-55.809467,164.77271
24160000000,-60.682526,-107.73248
24225000000,-58.443798,-28.006042
24290000000,-71.587311,83.502831
24355000000,-57.284935,-175.94031
24420000000,-57.631725,-98.859703
24485000000,-59.433193,-31.985582
24550000000,-60.99715,55.167355
24615000000,-60.796345,127.04166
24680000000,-66.626312,-156.35622
24745000000,-66.278488,-37.687428
24810000000,-58.312206,48.873268
24875000000,-60.000698,133.68895
24940000000,-63.809082,-158.83186
25005000000,-57.724792,-76.64328
25070000000,-60.712048,-12.532573
25135000000,-64.96228,66.627075
25200000000,-73.401176,137.84778
25265000000,-70.112625,-162.19536
25330000000,-70.617737,-75.236832
25395000000,-65.84063,66.790642
25460000000,-67.357399,122.62119
25525000000,-61.515232,-128.57083
25590000000,-61.200058,-121.91203
