!CSV A.01.01
!Keysight Technologies,N5224B,MY57181201,A.12.70.07
!Date: Wednesday, July 20, 2022 17:01:13
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S22(DB),S22(DEG)
20000000000,-27.207932,-95.886055
20065000000,-15.191432,41.533348
20130000000,-16.404078,165.83502
20195000000,-19.697353,-30.513823
20260000000,-28.930277,82.083611
20325000000,-16.374144,-55.921516
20390000000,-15.321852,77.266037
20455000000,-14.863931,-150.58453
20520000000,-11.475054,-16.135586
20585000000,-15.651021,109.56888
20650000000,-15.064425,-125.89145
20715000000,-13.133615,44.002625
20780000000,-22.604118,-144.9727
20845000000,-10.249142,-21.141579
20910000000,-10.788545,94.642822
20975000000,-18.496664,-159.23132
21040000000,-12.502235,27.615442
21105000000,-19.493418,128.02155
21170000000,-22.698816,-59.503296
21235000000,-14.83364,105.08987
21300000000,-17.248619,-108.61711
21365000000,-13.293237,2.3961844
21430000000,-18.262703,133.89999
21495000000,-22.551111,-90.744019
21560000000,-21.416632,49.770565
21625000000,-23.450592,-71.668831
21690000000,-21.996256,34.399334
21755000000,-19.255705,155.15404
21820000000,-18.044739,-29.764332
21885000000,-15.183251,28.655542
21950000000,-26.037952,-13.188906
22015000000,-17.321398,73.994804
22080000000,-19.337994,121.34174
22145000000,-14.324867,9.6449537
22210000000,-13.955969,86.998825
22275000000,-13.998203,176.43723
22340000000,-37.613762,106.77586
22405000000,-25.014275,170.43211
22470000000,-21.023821,-46.782345
22535000000,-22.436235,108.1814
22600000000,-19.258188,-143.68437
22665000000,-14.392577,-1.1067493
22730000000,-15.471157,84.240089
22795000000,-15.689925,-166.29013
22860000000,-24.137821,11.45147
22925000000,-20.384113,58.609219
22990000000,-19.097479,8.6914606
23055000000,-18.870228,76.318932
23120000000,-19.143919,161.35614
23185000000,-17.581579,6.9225106
23250000000,-12.981896,64.139793
23315000000,-15.995487,171.39352
23380000000,-20.242716,-145.87979
23445000000,-24.411932,123.67547
23510000000,-29.047619,11.853393
23575000000,-37.366623,81.956329
23640000000,-15.41555,-161.58022
23705000000,-18.52911,-26.484259
23770000000,-16.531675,50.749119
23835000000,-23.369246,-132.02957
23900000000,-24.498074,-44.337563
23965000000,-23.691078,66.665459
24030000000,-17.182362,35.719944
24095000000,-18.251925,92.89637
24160000000,-23.088087,-153.79041
24225000000,-18.770248,47.656677
24290000000,-16.759752,83.608322
24355000000,-21.635141,77.674789
24420000000,-17.566734,167.50844
24485000000,-22.39805,-113.70502
24550000000,-14.390301,67.13092
24615000000,-18.012596,160.6759
24680000000,-17.295347,-87.509346
24745000000,-25.41268,102.81004
24810000000,-29.833183,52.851624
24875000000,-17.226318,64.989014
24940000000,-15.099185,-168.21863
25005000000,-19.22851,-69.19146
25070000000,-13.205441,73.899612
25135000000,-25.049417,135.02534
25200000000,-24.381243,13.569422
25265000000,-22.828259,122.41428
25330000000,-18.586771,67.456497
25395000000,-13.223787,113.13128
25460000000,-19.408117,-157.61336
25525000000,-29.428631,-48.796211
25590000000,-20.257921,124.15791
25655000000,-19.94006,115.32899
25720000000,-24.376329,-164.74754
25785000000,-17.501524,-69.687843
25850000000,-18.040937,80.438072
25915000000,-18.357561,148.64409
25980000000,-23.574989,-72.235535
26045000000,-21.247818,-117.42916
26110000000,-23.65658,35.846352
26175000000,-14.072443,91.577171
26240000000,-19.131849,-128.23145
26305000000,-16.944248,-6.132792
26370000000,-13.376222,105.07343
26435000000,-23.815458,130.76436
26500000000,-17.344629,91.050644
26565000000,-18.791048,-150.67485
26630000000,-21.519339,1.7789006
26695000000,-14.203042,127.85203
26760000000,-16.363127,-135.10866
26825000000,-17.634121,-0.22919105
26890000000,-20.067228,145.34081
26955000000,-26.020775,168.20721
27020000000,-20.335381,130.09897
27085000000,-19.018101,-105.37533
27150000000,-26.323387,10.756661
27215000000,-13.821979,137.00586
27280000000,-20.860121,-128.90622
27345000000,-19.950171,9.4959879
27410000000,-18.908194,112.60651
27475000000,-17.52459,133.98476
27540000000,-20.521814,123.9633
27605000000,-47.38855,-154.83124
27670000000,-22.962006,121.83365
27735000000,-13.589908,159.34572
27800000000,-13.495873,-131.94797
27865000000,-24.369732,-15.49565
27930000000,-21.321466,115.0452
27995000000,-19.486898,176.93137
28060000000,-21.727602,171.08975
28125000000,-23.760178,-103.17472
28190000000,-25.981642,17.292925
28255000000,-15.821967,178.6571
28320000000,-19.830006,-136.64684
28385000000,-20.80055,60.833599
28450000000,-21.95961,112.26138
28515000000,-20.670612,143.47255
28580000000,-14.239597,173.09851
28645000000,-25.555681,-41.552605
28710000000,-16.006929,90.820267
28775000000,-13.456309,-163.60524
28840000000,-20.3395,-70.505814
28905000000,-34.262802,74.278168
28970000000,-27.928396,-55.543255
29035000000,-17.290966,129.83614
29100000000,-12.650393,-146.74013
