!CSV A.01.01
!Keysight Technologies,N5224B,MY57181201,A.12.70.07
!Date: Wednesday, July 20, 2022 16:30:14
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(DB),S11(DEG)
22000000000,-18.067995,82.382584
22055000000,-20.276213,-106.63884
22110000000,-19.109625,81.20034
22165000000,-16.120178,-114.57027
22220000000,-16.212147,53.89307
22275000000,-20.933233,-139.76271
22330000000,-17.670544,41.713795
22385000000,-22.858093,-139.04118
22440000000,-15.510037,39.272781
22495000000,-21.963829,-153.84998
22550000000,-14.593427,35.347763
22605000000,-16.794157,159.73232
22660000000,-16.293852,12.755291
22715000000,-18.006876,140.50826
22770000000,-20.556686,-4.2538886
22825000000,-18.875927,135.2688
22880000000,-20.715298,-8.9890871
22935000000,-21.061218,112.71363
22990000000,-19.446613,-17.350239
23045000000,-17.518291,92.505943
23100000000,-23.727413,-91.011902
23155000000,-20.847202,74.429436
23210000000,-23.285679,-114.24556
23265000000,-19.210264,43.771584
23320000000,-28.813368,176.5661
23375000000,-23.694092,38.973721
23430000000,-44.98452,144.02766
23485000000,-19.971939,44.969894
23540000000,-23.201509,129.43863
23595000000,-22.41696,42.646225
23650000000,-17.134035,136.59615
23705000000,-28.170441,-167.51784
23760000000,-22.360838,99.757973
23815000000,-48.524178,-110.26397
23870000000,-26.267765,47.582092
23925000000,-24.100071,64.037781
23980000000,-27.927654,109.29198
24035000000,-26.150621,32.007374
24090000000,-23.798693,90.861687
24145000000,-26.661619,61.882633
24200000000,-28.082565,74.61702
24255000000,-30.584076,11.730182
24310000000,-36.908825,-89.907997
24365000000,-20.896084,48.063229
24420000000,-21.799221,140.04858
24475000000,-22.178421,-2.6319664
24530000000,-20.847572,103.0487
24585000000,-28.672283,7.9102378
24640000000,-17.790434,108.54325
24695000000,-29.937567,133.38515
24750000000,-16.340021,153.10985
24805000000,-25.67103,7.8652301
24860000000,-20.085552,113.53986
24915000000,-23.704651,-60.53648
24970000000,-19.58036,83.563255
25025000000,-32.508881,-175.92996
25080000000,-20.629841,75.245827
25135000000,-25.572384,141.01328
25190000000,-21.721893,132.14644
25245000000,-32.255428,61.899834
25300000000,-21.339745,102.06423
25355000000,-29.873905,-149.58229
25410000000,-21.538736,78.306061
25465000000,-26.509283,119.39017
25520000000,-27.038101,75.236
25575000000,-24.912333,45.266071
25630000000,-22.102221,128.07021
25685000000,-29.673227,6.3522401
25740000000,-20.935251,128.39679
25795000000,-23.427313,-59.936584
25850000000,-20.777287,86.550903
25905000000,-44.760559,93.32103
25960000000,-21.050646,120.57899
26015000000,-26.113676,-44.21801
26070000000,-16.506088,113.15553
26125000000,-24.24609,-78.909927
26180000000,-15.076807,94.513016
26235000000,-22.80794,-120.11104
26290000000,-16.774868,77.987564
26345000000,-21.691505,-170.47577
26400000000,-17.864731,86.997551
26455000000,-21.429016,-167.56459
26510000000,-16.056965,80.009018
26565000000,-18.296791,-151.97345
26620000000,-17.510221,67.316643
26675000000,-15.585278,-173.05006
26730000000,-23.669256,39.950996
26785000000,-16.823183,162.51889
26840000000,-42.700722,113.87256
26895000000,-17.871538,-155.04712
26950000000,-25.471424,-64.496613
27005000000,-19.610672,162.00357
27060000000,-22.05386,38.22961
27115000000,-19.259743,141.4686
27170000000,-32.688618,-13.794909
27225000000,-21.62784,119.79807
27280000000,-26.162741,-118.73846
27335000000,-28.923203,-4.4189672
27390000000,-29.887897,64.184738
27445000000,-23.578337,172.99551
27500000000,-27.098263,133.66702
27555000000,-23.658455,141.99423
27610000000,-25.188694,151.2596
27665000000,-29.882917,95.504204
27720000000,-18.337849,142.92061
27775000000,-24.974491,-136.972
27830000000,-20.66218,130.09198
27885000000,-19.41398,-149.62564
27940000000,-35.21891,140.70245
27995000000,-21.683002,-112.74056
28050000000,-28.358797,-26.116306
28105000000,-38.767136,-160.70766
28160000000,-20.475643,104.86359
28215000000,-23.622608,-142.14359
28270000000,-19.557955,91.244209
28325000000,-17.88118,-155.10146
28380000000,-33.530975,-122.77145
28435000000,-19.406847,-115.29657
28490000000,-24.702412,-56.180809
28545000000,-28.35903,-137.7634
28600000000,-19.932894,104.87929
28655000000,-22.201056,-148.81436
28710000000,-19.632383,83.910927
28765000000,-16.75667,-161.28717
28820000000,-30.394751,126.39783
28875000000,-17.861059,-132.29536
28930000000,-30.510433,-75.626251
28985000000,-20.250233,-135.95546
29040000000,-19.459068,88.805656
29095000000,-16.848642,-152.12885
29150000000,-19.014406,57.142277
29205000000,-16.410271,-175.43919
29260000000,-24.751623,31.35895
29315000000,-18.518091,-176.79977
29370000000,-25.07267,69.860565
29425000000,-19.456726,-148.08698
29480000000,-19.073553,30.996786
29535000000,-17.119539,-177.15927
29590000000,-21.325071,14.406835
29645000000,-16.712765,162.25323
29700000000,-22.981501,-14.098433
29755000000,-20.156109,147.50111
29810000000,-38.807892,113.29853
29865000000,-18.165718,-167.43541
29920000000,-27.499258,-70.240204
29975000000,-18.009808,-150.54622
30030000000,-27.543461,-24.140554
30085000000,-18.296064,161.1537
30140000000,-25.921064,-105.59734
30195000000,-24.600918,173.48521
30250000000,-26.645704,124.04677
30305000000,-18.855307,-156.78642
30360000000,-28.104435,35.368362
30415000000,-16.383022,-155.87572
30470000000,-25.289368,4.5142822
30525000000,-20.495291,171.54025
30580000000,-26.328541,26.112297
30635000000,-21.041088,-164.9032
30690000000,-21.966333,49.160511
30745000000,-15.598583,-157.70686
30800000000,-18.942265,7.6963229
30855000000,-13.798303,178.121
30910000000,-18.289318,-14.861696
30965000000,-15.765259,164.73828
31020000000,-19.919996,-10.321891
31075000000,-16.340864,172.09875
31130000000,-19.201906,-7.7553725
31185000000,-14.388797,168.33803
31240000000,-15.832792,-22.891617
31295000000,-13.000422,153.32738
31350000000,-15.120781,-53.497551
31405000000,-14.089836,139.39706
31460000000,-18.281467,-77.005005
31515000000,-16.903477,143.93961
31570000000,-17.137608,-51.052929
31625000000,-15.076083,148.96684
31680000000,-13.286155,-52.255199
31735000000,-14.829373,111.81052
31790000000,-14.72028,-78.839088
31845000000,-17.06245,107.02522
31900000000,-17.238005,-86.178947
31955000000,-20.006504,121.8932
32010000000,-19.93181,-79.348267
32065000000,-15.988101,123.80387
32120000000,-16.059654,-88.065819
32175000000,-15.872426,109.89577
32230000000,-14.877706,-93.122116
32285000000,-17.091469,81.290649
32340000000,-16.868782,-83.665726
32395000000,-20.650536,64.245262
32450000000,-17.211098,-74.322853
32505000000,-20.048792,120.2438
32560000000,-13.954041,-87.040833
32615000000,-15.354619,90.567314
32670000000,-14.452595,-111.69582
32725000000,-19.240549,71.509476
32780000000,-17.953531,-118.38954
32835000000,-21.963709,79.597786
32890000000,-18.639351,-99.036987
32945000000,-15.364698,79.021553
33000000000,-16.187775,-108.15754
END

