!CSV A.01.01
!Keysight Technologies,N5224B,MY57181201,A.12.70.07
!Date: Wednesday, July 20, 2022 16:35:56
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S22(DB),S22(DEG)
22000000000,-17.6994,77.643639
22055000000,-26.036287,68.99765
22110000000,-12.464146,74.016556
22165000000,-31.382217,-77.603699
22220000000,-17.265938,73.883339
22275000000,-16.421608,-175.50778
22330000000,-18.726851,90.177498
22385000000,-18.945427,-164.05045
22440000000,-19.748976,22.494223
22495000000,-19.954414,-133.45787
22550000000,-22.236242,18.463835
22605000000,-21.698706,168.6107
22660000000,-16.367863,17.232347
22715000000,-20.428776,133.77637
22770000000,-22.927135,-59.129086
22825000000,-18.03162,153.99165
22880000000,-27.2813,6.8675728
22935000000,-18.008282,65.795815
22990000000,-20.000179,-11.109766
23045000000,-19.712105,67.551384
23100000000,-35.922733,-166.24039
23155000000,-14.22959,71.505852
23210000000,-24.499475,124.90958
23265000000,-16.530706,38.188168
23320000000,-17.367401,172.93015
23375000000,-28.736303,-168.70981
23430000000,-17.529076,159.37376
23485000000,-21.879778,-32.342155
23540000000,-27.870594,-176.31071
23595000000,-19.889563,-62.992985
23650000000,-18.051865,154.77383
23705000000,-23.887873,-17.556473
23760000000,-21.401728,88.312256
23815000000,-17.738619,-64.106735
23870000000,-26.550436,22.497955
23925000000,-34.595364,30.555531
23980000000,-20.455227,85.973289
24035000000,-20.877615,18.249792
24090000000,-20.704666,77.352882
24145000000,-28.88397,-6.1303191
24200000000,-17.31711,96.348236
24255000000,-22.863325,76.871872
24310000000,-17.796833,85.811119
24365000000,-25.677946,38.470718
24420000000,-18.074638,148.62325
24475000000,-30.148558,-128.89584
24530000000,-14.780945,118.52238
24585000000,-25.655943,-58.312317
24640000000,-24.115345,86.769539
24695000000,-18.37018,-107.67428
24750000000,-21.026087,107.03547
24805000000,-36.355011,-34.759571
24860000000,-17.124063,78.933037
24915000000,-19.970051,-93.57029
24970000000,-18.06378,102.7951
25025000000,-22.031694,-153.45967
25080000000,-15.172358,57.389908
25135000000,-35.091709,100.96413
25190000000,-19.220867,43.161671
25245000000,-26.580244,155.96684
25300000000,-16.039339,91.524368
25355000000,-20.771606,148.45001
25410000000,-17.146435,80.671921
25465000000,-20.876783,172.99977
25520000000,-32.989296,140.01041
25575000000,-20.496096,169.4839
25630000000,-22.514048,116.16469
25685000000,-39.690773,72.596886
25740000000,-27.649012,77.339172
25795000000,-19.251657,-114.84984
25850000000,-21.390293,88.3423
25905000000,-24.772623,162.73602
25960000000,-27.113857,56.938236
26015000000,-19.37648,-104.09438
26070000000,-31.894016,164.83052
26125000000,-26.640041,-146.0892
26180000000,-14.768486,66.358177
26235000000,-22.116571,-106.42004
