!CSV A.01.01
!Keysight Technologies,N5224B,MY57181201,A.12.70.07
!Date: Thursday, July 21, 2022 12:18:10
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(DB),S11(DEG)
22000000000,-8.695817,-67.751167
22055000000,-10.537828,-73.558212
22110000000,-11.57939,-66.653786
22165000000,-10.096009,-67.790581
22220000000,-9.6050024,-67.731354
22275000000,-8.5904589,-64.176033
22330000000,-8.4715929,-71.52565
22385000000,-8.8845339,-68.927155
22440000000,-10.603089,-81.739594
22495000000,-12.946959,-81.833633
22550000000,-13.374299,-92.662323
22605000000,-12.837797,-94.042953
22660000000,-12.047333,-89.816673
22715000000,-10.236132,-91.107277
22770000000,-11.784409,-90.942711
22825000000,-11.779575,-88.895859
22880000000,-13.090523,-96.947952
22935000000,-15.208621,-107.11375
22990000000,-17.811512,-104.78246
23045000000,-15.901464,-105.46015
23100000000,-16.572104,-119.58572
23155000000,-16.965927,-102.51295
23210000000,-16.31743,-117.0168
23265000000,-20.815887,-95.535362
23320000000,-16.505896,-97.939583
23375000000,-21.849464,-140.20256
23430000000,-27.541674,-26.000113
23485000000,-18.892742,-74.741219
23540000000,-23.107655,-128.54341
23595000000,-30.695179,-86.619148
23650000000,-28.861889,-51.150913
23705000000,-30.561028,-65.069588
23760000000,-22.478302,-27.416725
23815000000,-20.032019,-40.021225
23870000000,-22.344446,-16.391495
23925000000,-16.103851,-15.812762
23980000000,-19.773773,-47.384007
24035000000,-24.710121,-0.79653096
24090000000,-15.598313,-14.041805
24145000000,-15.544769,-30.672844
24200000000,-16.088612,-29.44762
24255000000,-14.047144,-5.2252188
24310000000,-11.857177,-33.22517
24365000000,-16.211243,-42.953434
24420000000,-14.986308,-33.70702
24475000000,-12.240619,-39.401268
24530000000,-13.030964,-51.380581
24585000000,-13.598684,-32.748848
24640000000,-10.579488,-36.899376
24695000000,-11.395775,-44.425289
24750000000,-11.298059,-41.958893
24805000000,-10.201961,-48.882145
24860000000,-10.903873,-60.251797
24915000000,-11.658238,-48.030354
24970000000,-10.315941,-62.708897
25025000000,-10.892011,-57.469822
25080000000,-8.8898325,-55.35046
25135000000,-8.9086304,-61.905762
25190000000,-7.5559206,-65.488922
25245000000,-8.9719648,-72.206375
25300000000,-8.1226454,-68.1306
25355000000,-8.9843025,-74.605255
25410000000,-8.9858046,-78.362083
25465000000,-9.2951031,-68.173485
25520000000,-6.2227402,-79.511711
25575000000,-7.6658649,-87.433205
25630000000,-6.7269163,-83.020142
25685000000,-6.0740905,-87.575783
25740000000,-6.6395235,-100.96922
25795000000,-8.4200201,-95.523926
25850000000,-6.4608727,-88.30806
25905000000,-5.7395816,-99.719414
25960000000,-7.4946613,-100.98231
26015000000,-5.6077824,-94.332237
