!CSV A.01.01
!Keysight Technologies,N5224B,MY57181201,A.12.70.07
!Date: Thursday, July 21, 2022 11:46:07
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S12(DB),S12(DEG)
22000000000,0.16912971,-164.09042
22055000000,0.02468673,-163.64417
22110000000,-0.14217392,-162.74202
22165000000,0.017481778,-164.05927
22220000000,-0.018352995,-164.62189
22275000000,-0.027051484,-165.634
22330000000,-0.046660289,-165.83162
22385000000,0.072711147,-166.32895
22440000000,0.035026841,-166.35332
22495000000,0.16730388,-166.37604
22550000000,0.22327273,-168.03255
22605000000,-0.29955786,-168.20932
22660000000,-0.013618374,-165.095
22715000000,0.15238269,-169.14983
22770000000,-0.30174103,-170.72429
22825000000,-0.2479336,-169.92841
22880000000,0.061152883,-169.49715
22935000000,0.19005236,-169.9785
22990000000,0.018075531,-171.8802
23045000000,-0.094865493,-170.10722
23100000000,0.050899886,-171.81735
23155000000,-0.013108386,-173.66531
23210000000,-0.32306579,-174.03276
23265000000,-0.17670807,-173.93332
23320000000,-0.063698143,-174.08101
23375000000,-0.10296548,-175.51822
23430000000,-0.22366662,-174.54597
23485000000,0.053190861,-175.37953
23540000000,-0.096450828,-177.43073
23595000000,-0.45879987,-175.01488
23650000000,-0.099833958,-175.84944
23705000000,-0.27117804,-178.30579
23760000000,-0.37452093,-179.5204
23815000000,-0.53612536,-178.84001
23870000000,-0.11998005,-177.73999
23925000000,0.0035371208,179.64647
23980000000,-0.27016684,179.32074
24035000000,-0.34508657,-178.01085
24090000000,-0.12020578,179.52948
24145000000,-0.36607373,179.11375
24200000000,-0.31901547,175.19235
24255000000,-0.89096588,178.07307
24310000000,-0.083240278,178.62349
24365000000,-0.40010393,174.79546
24420000000,-0.65604246,176.12349
24475000000,-0.25558496,177.35803
24530000000,-0.3680273,174.9082
24585000000,-0.6178866,174.91255
24640000000,-0.67390794,175.11339
24695000000,-0.50255406,174.78386
24750000000,-0.59846872,172.90016
24805000000,-0.65464497,172.55617
24860000000,-0.22414289,173.30397
24915000000,-0.64227933,169.86792
24970000000,-0.99828982,172.51187
25025000000,-0.80608344,171.85249
25080000000,-0.69753015,171.99905
25135000000,-0.89597815,169.87498
25190000000,-0.62309778,169.74538
25245000000,-0.76835895,169.88084
25300000000,-0.29628298,168.88362
25355000000,-0.89168274,166.06502
25410000000,-1.0690793,167.88815
25465000000,-1.1580677,171.02127
25520000000,-0.66083682,167.37288
25575000000,-1.4488653,165.03693
25630000000,-1.0509272,166.84134
25685000000,-0.7585296,165.54736
25740000000,-1.0289322,161.95964
25795000000,-1.4412146,166.43947
25850000000,-0.96395522,167.08141
25905000000,-1.2109685,165.31371
25960000000,-1.3394969,166.49968
26015000000,-1.1263433,165.00739
26070000000,-1.3697706,165.69173
26125000000,-1.0124958,162.88063
26180000000,-1.5164573,163.52267
26235000000,-1.1093831,163.20119
26290000000,-1.058154,163.86105
26345000000,-0.94887871,162.10582
26400000000,-1.3198761,161.90314
26455000000,-1.3872914,163.61932
26510000000,-1.1895674,161.53162
26565000000,-1.6613348,157.97517
26620000000,-1.7609521,161.23888
26675000000,-0.89947951,158.81299
26730000000,-1.58815,156.69322
26785000000,-1.3241501,159.37453
26840000000,-1.4776247,159.35086
26895000000,-1.4212842,159.58879
26950000000,-1.8194125,158.52597
27005000000,-1.8709263,159.26129
27060000000,-1.585573,158.03386
27115000000,-1.6960007,155.68556
27170000000,-1.7585524,157.23964
27225000000,-1.4990773,157.01976
27280000000,-1.7725009,155.59769
27335000000,-1.496662,158.70888
27390000000,-1.8582418,155.84776
27445000000,-1.6866355,159.46236
27500000000,-1.6857914,154.44876
27555000000,-1.8534782,153.44745
27610000000,-1.9249361,155.07327
27665000000,-1.3640907,154.81853
27720000000,-1.8713173,152.77512
27775000000,-1.8722458,155.28961
27830000000,-1.9031454,157.53996
27885000000,-1.4426272,153.83655
27940000000,-2.2012777,152.5677
27995000000,-1.942044,154.1391
28050000000,-1.4836251,153.04657
28105000000,-1.7739582,150.00768
28160000000,-1.8781785,151.77855
28215000000,-1.942354,150.26791
28270000000,-1.8587313,152.0096
28325000000,-1.9958091,149.30772
28380000000,-2.3160589,152.38039
28435000000,-1.8231176,151.51588
28490000000,-2.0362785,150.12094
28545000000,-2.3251853,150.31342
28600000000,-1.7583611,148.89897
28655000000,-2.1013706,147.94734
28710000000,-2.0819051,148.07204
28765000000,-2.3517864,149.97469
28820000000,-2.1229579,150.94199
28875000000,-2.2483373,148.90077
28930000000,-2.5449584,149.81157
28985000000,-2.0536604,149.63524
29040000000,-2.0295227,146.31967
29095000000,-1.8867885,148.47125
29150000000,-1.8275175,145.65092
29205000000,-2.4292743,148.83951
29260000000,-2.0224936,148.25372
29315000000,-2.4274411,146.64008
29370000000,-2.4321434,147.53423
29425000000,-2.0245919,146.22815
29480000000,-1.9509624,145.25931
29535000000,-2.1641345,145.5759
29590000000,-2.0677831,148.21962
29645000000,-2.2954738,145.21486
29700000000,-2.3730137,146.79967
29755000000,-2.6224027,144.56882
29810000000,-1.9597999,145.1709
29865000000,-2.374238,144.76038
29920000000,-1.8667849,145.01952
29975000000,-2.4838653,144.76239
30030000000,-2.0082176,143.43277
30085000000,-2.6707561,143.32158
30140000000,-1.8846531,141.02248
30195000000,-2.6226943,142.87253
30250000000,-2.0245469,144.48425
30305000000,-2.3231337,144.01617
30360000000,-2.4774597,141.23047
30415000000,-2.8108885,145.85962
30470000000,-1.8323146,140.16562
30525000000,-2.526439,138.15952
30580000000,-2.0996413,141.3938
30635000000,-1.9741814,140.48843
30690000000,-2.4505086,142.60818
30745000000,-2.2965133,143.17566
30800000000,-2.6827948,142.87903
30855000000,-2.3472474,140.0376
30910000000,-1.8991629,140.82925
30965000000,-2.0977135,136.01071
31020000000,-2.2674999,136.91829
31075000000,-2.249732,143.48288
31130000000,-1.3117777,140.5565
31185000000,-3.1416032,133.30301
31240000000,-2.4886699,148.03415
31295000000,-1.3289543,137.4245
31350000000,-2.049741,134.15376
31405000000,-2.4640856,140.95901
31460000000,-1.4800346,137.92685
31515000000,-2.3848729,133.86183
31570000000,-2.1314425,138.7449
31625000000,-3.2400756,131.37419
31680000000,-1.2498907,140.69661
31735000000,-1.9862305,132.4984
31790000000,-2.3569336,137.35107
31845000000,-2.1831234,137.95699
31900000000,-2.0632644,138.61711
31955000000,-1.2761467,134.21361
32010000000,-3.9339933,112.63768
32065000000,-2.0910323,150.85909
32120000000,-0.42499998,131.88461
32175000000,-2.7574356,106.27852
32230000000,-3.0352054,150.21391
32285000000,1.5959125,141.7715
32340000000,-6.9249625,147.40877
32395000000,-2.9389486,153.35107
32450000000,2.7471235,116.52464
32505000000,18.995134,71.838295
32560000000,6.9297934,161.03117
32615000000,-2.4307513,175.84894
32670000000,2.2770846,120.98403
32725000000,4.3310719,147.11353
32780000000,0.21111448,135.62486
32835000000,-2.2694035,145.10176
32890000000,-1.6025143,116.87884
32945000000,-5.486928,128.23245
33000000000,-0.7784493,136.2292
END

