!CSV A.01.01
!Keysight Technologies,N5224B,MY57181201,A.12.70.07
!Date: Thursday, July 21, 2022 12:20:23
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S12(DB),S12(DEG)
22000000000,-1.1975563,12.280198
22055000000,-1.4470965,12.959382
22110000000,-1.3730348,14.373403
22165000000,-1.3404775,11.932492
22220000000,-0.98143321,11.609854
22275000000,-0.55487835,7.7796335
22330000000,-0.9228065,4.7365179
22385000000,-0.81158501,5.0527267
22440000000,-0.65066803,3.3215141
22495000000,-0.92255032,1.2661942
22550000000,-1.0330436,1.9194514
22605000000,-1.0374057,2.1538291
22660000000,-0.64071709,2.245518
22715000000,-0.68111759,-1.2223557
22770000000,-0.79594189,-2.3070734
22825000000,-0.54068321,-4.8917646
22880000000,-0.51179481,-6.2474966
22935000000,-0.54691166,-7.6822853
22990000000,-0.62698603,-9.5674839
23045000000,-0.85985303,-9.237896
23100000000,-0.72976977,-9.7080498
23155000000,-0.6993767,-11.041488
23210000000,-0.63044888,-12.327981
23265000000,-0.45636806,-14.852173
23320000000,-0.57542711,-16.842068
23375000000,-0.72261286,-17.452332
23430000000,-0.77274239,-18.311134
23485000000,-0.68945897,-19.389517
23540000000,-0.73777014,-20.582277
23595000000,-0.73159069,-21.686365
23650000000,-0.68995261,-23.452171
23705000000,-0.73610049,-24.747553
23760000000,-0.77200562,-25.713228
23815000000,-0.8800503,-27.478125
23870000000,-0.82272661,-27.163099
23925000000,-0.64514071,-29.765877
23980000000,-0.81655461,-31.044102
24035000000,-0.88027793,-32.609528
24090000000,-0.94697529,-33.355232
24145000000,-1.1088109,-34.734379
24200000000,-0.92267817,-34.394917
24255000000,-0.9638741,-37.240288
24310000000,-0.88748252,-36.011406
24365000000,-0.96063328,-39.730331
24420000000,-1.0862602,-40.891624
24475000000,-1.4161717,-42.064583
24530000000,-1.2191367,-41.789818
24585000000,-1.3396807,-43.027859
24640000000,-1.276507,-43.781559
24695000000,-1.0448446,-44.148731
24750000000,-1.0791602,-48.250771
24805000000,-1.6122447,-48.147762
24860000000,-1.1925133,-47.10643
24915000000,-1.4227949,-51.855549
24970000000,-2.1717246,-51.65593
25025000000,-1.6075436,-49.541142
25080000000,-1.5181322,-53.055523
25135000000,-1.6181774,-54.62088
25190000000,-1.5711118,-54.518749
25245000000,-1.3123939,-55.836353
25300000000,-1.7060345,-58.188492
25355000000,-1.7555059,-58.203327
25410000000,-1.970031,-59.963139
25465000000,-2.27033,-60.010418
25520000000,-2.1449883,-59.294117
25575000000,-2.1703982,-62.604141
25630000000,-2.1995783,-61.702114
25685000000,-1.7314261,-63.931427
25740000000,-1.9875633,-67.26487
25795000000,-2.2399688,-65.951424
25850000000,-2.1364496,-66.106216
25905000000,-2.5996661,-69.009232
25960000000,-2.7824113,-67.322601
26015000000,-2.4884648,-67.752159
26070000000,-2.5085793,-67.081696
26125000000,-2.1748967,-71.861115
26180000000,-2.6485035,-70.787262
26235000000,-2.4903512,-73.214699
26290000000,-2.6903262,-73.705551
26345000000,-2.5273848,-75.734375
26400000000,-3.1481762,-74.149437
26455000000,-2.8910477,-73.821487
26510000000,-2.8002741,-75.572594
26565000000,-3.1046021,-77.900467
26620000000,-2.8090568,-75.619904
26675000000,-2.5268159,-82.26165
26730000000,-3.2942023,-80.092926
26785000000,-2.5230417,-78.949867
26840000000,-2.7659488,-82.672775
26895000000,-2.986938,-80.922913
26950000000,-2.9727473,-81.232346
27005000000,-3.1706622,-83.513649
27060000000,-3.1785703,-82.421967
27115000000,-3.0772235,-87.246506
27170000000,-3.1044185,-86.171661
27225000000,-2.8095486,-87.956947
27280000000,-3.0287027,-87.144684
27335000000,-2.6208389,-89.7257
27390000000,-3.7897928,-89.244171
27445000000,-2.8651783,-86.929428
27500000000,-3.3581789,-93.952789
27555000000,-3.9032531,-92.338104
27610000000,-3.1805491,-89.147087
27665000000,-3.0745034,-97.221443
27720000000,-3.8030281,-91.745865
27775000000,-2.9466934,-93.499008
27830000000,-3.1599271,-94.975906
27885000000,-3.5127397,-98.491791
27940000000,-3.7324936,-94.537277
27995000000,-3.3562253,-99.936417
28050000000,-3.6436517,-101.12342
28105000000,-4.0115132,-98.627403
28160000000,-3.3669348,-99.274406
28215000000,-4.1275697,-100.07072
28270000000,-3.0405183,-99.550507
28325000000,-3.8186319,-105.14255
28380000000,-3.7606094,-102.82747
28435000000,-3.5814838,-104.67324
28490000000,-3.9688118,-105.67036
28545000000,-4.2891798,-103.25685
28600000000,-3.9841371,-104.33369
28655000000,-3.8992634,-103.63766
28710000000,-3.6225076,-107.01837
28765000000,-3.8184018,-106.17381
28820000000,-3.409656,-108.53986
28875000000,-3.9554999,-109.7029
28930000000,-4.1355095,-107.11345
28985000000,-4.0899372,-110.45351
29040000000,-4.4149699,-110.32324
29095000000,-3.5745842,-111.06322
29150000000,-4.1490865,-113.52379
29205000000,-3.3277457,-109.95172
29260000000,-3.4074795,-115.3121
29315000000,-3.5896599,-114.1033
29370000000,-4.3724971,-114.23187
29425000000,-4.0779262,-115.97041
29480000000,-4.5007668,-117.27453
29535000000,-4.2928686,-115.54828
29590000000,-3.1840897,-115.96429
29645000000,-3.6521883,-119.29701
29700000000,-3.4973717,-117.31693
29755000000,-4.024374,-119.74643
29810000000,-3.9088304,-121.72896
29865000000,-4.1872678,-120.84971
29920000000,-3.9110117,-122.0827
29975000000,-3.9722013,-118.20316
30030000000,-3.7376466,-123.34734
30085000000,-3.986877,-120.17104
30140000000,-3.8527541,-128.0641
30195000000,-4.3569918,-121.54621
30250000000,-3.5253558,-130.21333
30305000000,-4.3834634,-126.9945
30360000000,-3.6713045,-124.06754
30415000000,-3.0931966,-125.57519
30470000000,-4.2718959,-130.71901
30525000000,-4.4113255,-122.87955
30580000000,-3.7915318,-134.80713
30635000000,-4.6638074,-131.27528
30690000000,-3.9999049,-134.00104
30745000000,-3.5465915,-130.46445
30800000000,-3.1601818,-132.57564
30855000000,-4.2064214,-132.3298
30910000000,-3.3063078,-127.93768
30965000000,-4.1052957,-138.783
31020000000,-4.7243986,-132.9715
31075000000,-3.6099865,-136.463
31130000000,-3.4163666,-143.6402
31185000000,-4.8648624,-134.22849
31240000000,-2.0261226,-131.86687
31295000000,-4.9896054,-140.29054
31350000000,-2.7673728,-128.15755
31405000000,-3.8963256,-146.42676
31460000000,-4.8497868,-134.65932
31515000000,-3.2763069,-142.56346
31570000000,-3.1528213,-157.37738
31625000000,-5.4298382,-134.92653
31680000000,-0.65097558,-137.06596
31735000000,-3.8549349,-143.88196
31790000000,-3.4288785,-143.46062
31845000000,-4.4443517,-137.07854
31900000000,-3.1328959,-146.41425
31955000000,-3.3952415,-157.4527
32010000000,-6.1657619,-145.43684
32065000000,-0.30309135,-130.03494
32120000000,-4.7966094,-151.68561
32175000000,-1.8003954,-140.75172
32230000000,-3.7118874,-158.3895
32285000000,-1.1642648,-154.76184
32340000000,-0.059866808,-108.12216
32395000000,-3.40203,-179.03435
32450000000,0.68004507,164.14357
32505000000,4.6363635,175.61852
32560000000,0.65179509,-167.14455
32615000000,3.1597128,-118.8626
32670000000,-1.0381995,164.02017
32725000000,-7.2994266,-178.75906
32780000000,2.2432418,-158.06804
32835000000,-2.8436797,-174.75291
32890000000,-3.3705795,-169.43202
32945000000,-0.60836208,-155.76302
33000000000,-4.4839616,-162.19514
END

