!CSV A.01.01
!Keysight Technologies,N5224B,MY57181201,A.12.70.07
!Date: Thursday, July 21, 2022 11:48:17
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21(DB),S21(DEG)
22000000000,0.11502609,-161.84747
22055000000,0.14107287,-162.97745
22110000000,-0.17845701,-162.50629
22165000000,0.074642405,-162.39268
22220000000,0.046689704,-163.06203
22275000000,-0.02411899,-164.98436
22330000000,-0.18747485,-164.5031
22385000000,0.16520953,-164.8459
22440000000,0.21737628,-166.41647
22495000000,-0.0079221716,-166.49174
22550000000,0.20805444,-166.0318
22605000000,-0.049088962,-167.22305
22660000000,0.021947315,-165.94804
22715000000,0.013449122,-167.7879
22770000000,-0.25644258,-169.56277
22825000000,-0.073126093,-168.73465
22880000000,0.12682165,-169.2437
22935000000,0.16314264,-169.87781
22990000000,0.037833478,-171.21196
23045000000,-0.089314058,-169.42621
23100000000,0.088231027,-170.78435
23155000000,0.0065803076,-172.78397
23210000000,-0.30441102,-173.2265
23265000000,-0.16687129,-173.51091
23320000000,-0.18743509,-172.91605
23375000000,-0.12940316,-174.63225
23430000000,-0.25092435,-173.81665
23485000000,-0.062323492,-173.43988
23540000000,0.046449941,-175.57057
23595000000,-0.19661102,-174.78168
23650000000,-0.26915002,-175.92543
23705000000,-0.368103,-176.57896
23760000000,-0.36430374,-177.1115
23815000000,-0.32939449,-178.56604
23870000000,-0.24670483,-177.64711
23925000000,-0.11435271,-178.9312
23980000000,-0.16959962,-178.92763
24035000000,-0.20192048,-178.35478
24090000000,-0.20877901,179.09145
24145000000,-0.57114518,-178.78107
24200000000,-0.21619664,177.68405
24255000000,-0.63293165,178.90472
24310000000,-0.17091218,178.25206
24365000000,-0.44968113,176.16856
24420000000,-0.56401169,176.94788
24475000000,-0.22391102,178.69667
24530000000,-0.46589246,175.98442
24585000000,-0.62770718,176.702
24640000000,-0.64607191,176.89615
24695000000,-0.51239336,174.80144
24750000000,-0.51175421,174.32822
24805000000,-0.63525903,172.70773
24860000000,-0.28423724,174.36299
24915000000,-0.50634211,172.9202
24970000000,-0.66428483,173.03467
25025000000,-0.88537717,171.88939
25080000000,-0.83792561,174.06323
25135000000,-0.85517794,171.50327
25190000000,-0.49265572,169.90604
25245000000,-0.80472797,169.96536
25300000000,-0.52767265,170.86722
25355000000,-0.69320494,168.0587
25410000000,-1.0881807,168.44206
25465000000,-1.1841666,171.19894
25520000000,-0.59985507,169.18373
25575000000,-1.4150714,167.36072
25630000000,-1.0125408,168.1658
25685000000,-0.7586593,167.33116
25740000000,-0.99011874,163.77141
25795000000,-1.3897463,167.19968
25850000000,-0.95860511,167.77505
25905000000,-1.1040251,165.57814
25960000000,-1.4080921,167.69743
26015000000,-1.1360362,167.52296
26070000000,-1.32256,167.02696
26125000000,-0.99337131,164.28056
26180000000,-1.4385531,165.0674
26235000000,-1.1454521,164.19464
26290000000,-1.0308694,165.31056
26345000000,-0.85175312,163.16142
26400000000,-1.313365,163.35146
26455000000,-1.3862107,164.70071
26510000000,-1.0694922,161.59833
26565000000,-1.670493,158.85846
26620000000,-1.6907375,161.67842
26675000000,-0.83320642,160.35571
26730000000,-1.5192589,157.82089
26785000000,-1.4682884,160.47842
26840000000,-1.4732867,161.08667
26895000000,-1.2404171,160.14571
26950000000,-1.8377544,159.03442
27005000000,-1.76142,160.29453
27060000000,-1.6009037,159.12674
27115000000,-1.6352334,156.53783
27170000000,-1.7207539,157.79974
27225000000,-1.5316769,158.50288
27280000000,-1.7922407,157.4977
27335000000,-1.2915109,159.48024
27390000000,-2.0257335,156.20151
27445000000,-1.8680394,160.73247
27500000000,-1.6008946,157.41431
27555000000,-1.8450058,154.30557
27610000000,-2.0222797,155.866
27665000000,-1.4029742,156.62613
27720000000,-1.6705363,154.32484
27775000000,-1.6767898,156.2287
27830000000,-1.9214791,157.13968
27885000000,-1.5070446,155.67702
27940000000,-2.1017768,154.12167
27995000000,-1.9198265,154.71635
28050000000,-1.5302776,153.8614
28105000000,-1.7320381,150.96109
28160000000,-1.8093566,151.92522
28215000000,-1.9755555,151.45932
28270000000,-1.9419584,154.22118
28325000000,-1.9630271,150.86961
28380000000,-2.3074765,153.53996
28435000000,-2.0595775,152.7235
28490000000,-1.8642737,150.76593
28545000000,-2.3324366,150.96205
28600000000,-1.857287,149.30708
28655000000,-2.0593154,150.60205
28710000000,-1.9090312,149.69547
28765000000,-2.3294368,149.5051
28820000000,-2.1462569,152.88585
28875000000,-2.2198303,150.83473
28930000000,-2.4156139,150.26117
28985000000,-2.0969586,151.39745
29040000000,-2.0954492,147.07689
29095000000,-1.7116165,150.06403
29150000000,-1.8298137,145.94415
29205000000,-2.4071188,148.82112
29260000000,-1.9614661,150.60411
29315000000,-2.3078706,147.81421
29370000000,-2.4591081,148.38126
29425000000,-2.3120191,149.12321
29480000000,-1.8449605,146.95
29535000000,-2.154177,145.58687
29590000000,-2.1322277,148.80003
29645000000,-2.2663419,146.11223
29700000000,-2.1170564,147.64139
29755000000,-2.630409,145.87053
29810000000,-2.021235,145.80957
29865000000,-2.3651462,146.55759
29920000000,-1.8952518,144.89973
29975000000,-2.3697305,145.03781
30030000000,-1.9659274,144.82639
