!CSV A.01.01
!Keysight Technologies,N5224B,MY57181201,A.12.70.07
!Date: Thursday, July 21, 2022 12:11:53
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S22(DB),S22(DEG)
22000000000,-7.0613737,-67.701492
22055000000,-8.2374897,-69.997269
22110000000,-10.324728,-66.873222
22165000000,-7.3202901,-63.400383
22220000000,-7.4800749,-82.42366
22275000000,-8.7545738,-75.156578
22330000000,-8.3567867,-65.859612
22385000000,-7.9089093,-58.557255
22440000000,-8.0469875,-58.654518
22495000000,-9.3581686,-52.955162
22550000000,-10.965373,-47.200516
22605000000,-10.397973,-59.641914
22660000000,-11.988518,-77.37513
22715000000,-11.813621,-71.374573
22770000000,-11.528502,-60.162949
22825000000,-9.665267,-55.059116
22880000000,-9.6162815,-54.581253
22935000000,-11.168961,-39.68042
22990000000,-9.7605324,-33.826679
23045000000,-15.832733,-51.789764
23100000000,-18.660549,-18.823362
23155000000,-20.143629,-67.232529
23210000000,-15.756776,-65.05172
23265000000,-15.22551,-75.365547
23320000000,-13.477444,-49.645584
23375000000,-12.633437,-33.505238
23430000000,-15.49857,-38.820782
23485000000,-18.199526,12.884733
23540000000,-20.972178,-5.5494027
23595000000,-20.629982,102.04166
23650000000,-21.553528,51.514
23705000000,-31.850603,-156.16457
23760000000,-33.146259,61.716846
23815000000,-26.727726,10.395179
23870000000,-22.317118,15.354732
23925000000,-21.11702,39.530846
23980000000,-18.136673,79.748596
24035000000,-11.819566,87.39447
24090000000,-16.848375,99.93264
24145000000,-10.944085,122.00455
24200000000,-22.651808,92.728363
24255000000,-13.386596,119.57011
24310000000,-16.517424,70.548477
24365000000,-16.677902,122.87395
24420000000,-11.111788,113.03352
24475000000,-10.500607,91.290741
24530000000,-13.346315,126.9036
24585000000,-9.2646427,114.84037
24640000000,-10.523083,110.89585
24695000000,-14.872705,115.24223
24750000000,-11.635102,129.06952
24805000000,-10.862816,124.2128
24860000000,-8.7642651,107.4795
24915000000,-9.4646673,130.70927
24970000000,-5.8804607,122.08977
25025000000,-9.7215538,120.64009
25080000000,-9.0060596,127.28062
25135000000,-8.4990129,132.42175
25190000000,-8.882781,126.59376
25245000000,-7.980619,128.8492
25300000000,-8.5149078,118.29849
25355000000,-7.2346067,136.43428
25410000000,-4.9311957,122.04578
25465000000,-6.8546162,113.9678
25520000000,-8.618886,135.14583
25575000000,-5.408318,144.54373
25630000000,-6.3977137,128.76698
25685000000,-8.0852423,143.7706
25740000000,-6.3574467,145.99791
25795000000,-4.5467138,134.3165
25850000000,-7.8434792,118.32793
25905000000,-5.8807211,140.96561
25960000000,-4.5384064,127.29948
26015000000,-6.8082566,137.77138
26070000000,-4.8562746,145.06393
26125000000,-5.8506827,150.81155
26180000000,-4.2748766,154.92447
26235000000,-5.2471189,150.60696
26290000000,-4.8757057,143.67471
26345000000,-6.1511421,139.94551
26400000000,-4.3259811,142.39816
26455000000,-4.5831103,138.3299
26510000000,-4.8854351,153.14362
26565000000,-3.9134305,158.23802
26620000000,-3.943753,155.35764
26675000000,-5.3819413,167.16429
26730000000,-2.9883757,163.93356
26785000000,-4.272471,143.74248
26840000000,-5.6971297,155.82053
26895000000,-3.9520311,156.31256
26950000000,-3.5668061,151.24274
27005000000,-4.1597853,158.99435
27060000000,-3.5765584,167.93211
27115000000,-3.1696229,169.10323
27170000000,-3.3808947,164.03993
27225000000,-4.3727899,169.01115
27280000000,-3.2665009,168.18581
27335000000,-4.2127833,158.70561
27390000000,-3.4836519,164.14729
27445000000,-3.6997657,163.34003
27500000000,-3.0437093,179.17432
27555000000,-2.063055,172.20924
27610000000,-3.7985613,171.16618
27665000000,-3.3155136,-176.98683
27720000000,-2.5087957,174.28401
27775000000,-3.7285397,166.91277
27830000000,-4.0176954,175.06453
27885000000,-2.96945,-178.44119
27940000000,-2.1380017,179.65945
27995000000,-3.4394908,-179.67757
28050000000,-2.7864232,-167.97975
28105000000,-2.2034767,-175.61423
28160000000,-3.1545699,-179.06937
28215000000,-2.9923792,-175.08905
28270000000,-3.5197043,-172.1963
28325000000,-2.1134043,-165.24829
28380000000,-1.9620792,-178.0006
28435000000,-4.2833452,-169.90056
28490000000,-1.4958693,-159.98868
28545000000,-1.5441147,-175.05005
28600000000,-3.9925852,-167.07286
28655000000,-2.8852565,-155.92426
28710000000,-2.0077598,-161.00345
28765000000,-2.7318769,-164.17708
28820000000,-2.9107211,-160.44568
28875000000,-1.914517,-161.25989
28930000000,-1.6416032,-165.91837
28985000000,-2.8735178,-159.08859
29040000000,-2.2207148,-155.56406
29095000000,-3.472734,-154.46382
29150000000,-2.6769917,-144.59683
29205000000,-2.5024338,-154.81133
29260000000,-3.1464925,-149.42091
29315000000,-1.5054688,-152.98477
29370000000,-1.9306341,-157.66873
29425000000,-2.6871018,-153.58345
29480000000,-2.2805097,-141.46701
29535000000,-2.5394864,-147.62733
29590000000,-3.7602994,-142.72417
29645000000,-3.1793597,-140.98848
29700000000,-2.0520098,-142.21063
29755000000,-2.6928437,-148.08629
29810000000,-1.7766025,-138.94725
29865000000,-2.1268601,-143.60629
29920000000,-3.1498036,-140.4313
29975000000,-3.342366,-133.36612
30030000000,-2.3601782,-135.31548
30085000000,-3.4824417,-132.07327
30140000000,-2.3256376,-129.60773
30195000000,-1.7960882,-128.21558
30250000000,-2.8355725,-136.25238
30305000000,-3.0829084,-126.6469
30360000000,-2.0606058,-134.87659
30415000000,-4.0799036,46.764984
30470000000,-2.7867911,63.329185
30525000000,-1.5226146,-123.73266
30580000000,-3.5109062,59.611298
30635000000,-1.2666861,66.986908
30690000000,-2.5494435,-124.4368
30745000000,-2.8037138,57.140194
30800000000,-3.6949632,-126.37222
30855000000,-3.1792059,60.985435
30910000000,-2.30562,60.976555
30965000000,-3.8739526,-116.49323
31020000000,-1.7977871,75.894432
31075000000,-3.1263363,69.013161
31130000000,-2.2244768,68.911438
31185000000,-2.8032284,-118.56506
31240000000,-3.6650195,62.239956
31295000000,-3.160774,86.562004
31350000000,-0.71779633,-120.27977
31405000000,-7.1474724,80.201187
31460000000,-1.5863448,102.5376
31515000000,-1.5640683,-115.11562
31570000000,-5.099401,65.97644
31625000000,-2.2728941,86.943695
31680000000,-1.0201676,57.463161
31735000000,-4.0664706,77.429695
31790000000,-5.329813,84.818642
31845000000,-3.1429503,101.44752
31900000000,-4.1835475,85.486214
31955000000,-3.9811711,84.539101
32010000000,-2.5781193,86.195938
32065000000,-0.36184657,74.808632
32120000000,-3.1993363,96.737724
32175000000,1.8358761,-128.10011
32230000000,-10.583324,113.63345
32285000000,-1.7004282,99.415733
32340000000,0.36601323,61.028198
32395000000,-6.6939282,-84.714836
32450000000,4.057754,-177.80818
32505000000,2.084657,-97.649689
32560000000,-0.606736,103.16565
32615000000,3.8644552,77.171165
32670000000,-2.2371314,-101.99487
32725000000,-10.44191,176.35707
32780000000,-4.0814838,52.986343
32835000000,-10.484005,104.37656
32890000000,-4.7295461,99.623734
32945000000,-3.6729572,70.037376
33000000000,-5.0510273,128.94478
END

