!CSV A.01.01
!Keysight Technologies,N5224B,MY57181201,A.12.70.07
!Date: Tuesday, July 26, 2022 10:52:06
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(DB),S11(DEG)
22000000000,-9.9153662,-115.8733
22055000000,-10.954171,-115.88636
22110000000,-11.223753,-120.52768
22165000000,-11.50631,-122.07017
22220000000,-11.004142,-116.80453
22275000000,-11.194795,-98.866844
22330000000,-9.1869001,-99.494171
22385000000,-10.679877,-107.56223
22440000000,-11.055423,-109.04687
22495000000,-9.6095104,-113.85741
22550000000,-9.9047041,-124.72128
22605000000,-11.040448,-112.24893
22660000000,-9.5113955,-106.15536
22715000000,-10.233006,-106.04478
22770000000,-9.7500401,-96.655258
22825000000,-8.4471245,-104.04684
22880000000,-9.5171022,-125.41387
22935000000,-8.8073654,-111.35279
22990000000,-8.9756336,-122.80643
23045000000,-9.9984856,-113.83917
23100000000,-8.456625,-109.64796
23155000000,-9.893714,-112.49088
23210000000,-7.7290769,-105.95854
23265000000,-7.5875678,-120.21539
23320000000,-9.8589439,-120.32631
23375000000,-8.9008408,-112.1757
23430000000,-8.7825012,-119.41456
23485000000,-10.517282,-124.60219
23540000000,-10.72098,-101.0865
23595000000,-7.2810674,-107.34541
23650000000,-8.3158722,-126.31427
23705000000,-9.7009039,-101.76293
23760000000,-7.7129374,-115.764
23815000000,-8.78018,-126.13257
23870000000,-10.507525,-119.2401
23925000000,-9.9213724,-107.56796
23980000000,-7.3039002,-108.11185
24035000000,-9.1028175,-119.2747
24090000000,-8.8956127,-105.62346
24145000000,-7.0210762,-113.52141
24200000000,-8.5215263,-121.21964
24255000000,-8.5662632,-117.22065
24310000000,-8.8694582,-112.61648
24365000000,-7.9033804,-105.86707
24420000000,-6.9916892,-114.93797
24475000000,-9.6580601,-114.01455
24530000000,-6.997808,-109.11315
24585000000,-7.0759063,-121.80553
24640000000,-8.067729,-121.26403
24695000000,-7.9480915,-115.9495
24750000000,-7.4928608,-113.47023
24805000000,-8.2176847,-114.08785
24860000000,-7.1970577,-114.54444
24915000000,-7.9522939,-123.57043
24970000000,-8.2263603,-115.76096
25025000000,-6.7549663,-120.64735
25080000000,-9.0142307,-129.44221
25135000000,-8.5473976,-109.2523
25190000000,-8.0349741,-114.64683
25245000000,-8.3530893,-119.14912
25300000000,-7.898973,-116.97723
25355000000,-8.689208,-113.48396
25410000000,-6.2958498,-116.10371
25465000000,-8.4381886,-126.82976
25520000000,-9.6280165,-108.87521
25575000000,-6.7729053,-110.25869
25630000000,-7.7156625,-122.30929
25685000000,-8.0648251,-115.07533
25740000000,-7.5552621,-108.31409
25795000000,-6.322125,-116.4643
25850000000,-7.621388,-122.55334
25905000000,-8.9502125,-110.34711
25960000000,-7.0577493,-109.65308
26015000000,-6.6571116,-121.2187
26070000000,-9.5747719,-121.88319
26125000000,-7.2943568,-111.16734
26180000000,-5.5140958,-117.09481
26235000000,-7.4024272,-127.59978
26290000000,-7.8197017,-113.18441
26345000000,-6.7908764,-111.22984
26400000000,-7.4864511,-123.05575
26455000000,-8.4101095,-117.79292
26510000000,-8.2760506,-113.41241
26565000000,-5.9653568,-118.03825
26620000000,-7.9185882,-128.05568
26675000000,-8.182889,-113.65524
26730000000,-6.6683764,-113.73215
26785000000,-8.7870579,-122.35993
26840000000,-8.5729342,-113.28162
26895000000,-7.2722445,-113.52872
26950000000,-7.7252998,-121.9351
27005000000,-7.7844844,-115.65327
27060000000,-6.9276614,-112.64185
27115000000,-7.4795966,-123.23328
27170000000,-8.3875875,-108.48186
27225000000,-6.6577859,-111.71449
27280000000,-8.1664982,-123.07452
27335000000,-8.4721375,-108.62706
27390000000,-6.8559265,-114.19982
27445000000,-6.8956709,-118.47949
27500000000,-8.2258835,-114.76174
27555000000,-6.7057209,-109.34948
27610000000,-6.1066318,-116.58292
27665000000,-7.8773551,-122.97549
27720000000,-6.8966331,-108.95577
27775000000,-7.0567331,-116.95067
27830000000,-7.2159715,-119.9096
27885000000,-7.6201882,-118.74556
27940000000,-7.8421416,-110.33374
27995000000,-5.9664469,-116.07059
28050000000,-7.7628379,-123.29109
28105000000,-7.8218298,-109.78082
28160000000,-6.1898961,-113.76569
28215000000,-7.27142,-118.99159
28270000000,-7.1973772,-117.84074
28325000000,-8.4398823,-116.21451
28380000000,-6.5551524,-114.0919
28435000000,-7.458734,-121.33188
28490000000,-7.7583265,-110.79711
28545000000,-6.3019543,-115.72734
28600000000,-7.3669524,-116.86014
28655000000,-7.8336105,-119.34279
28710000000,-7.4057655,-118.4456
28765000000,-7.9209304,-116.0578
28820000000,-7.4286628,-119.2165
28875000000,-7.2780862,-109.76367
28930000000,-7.0394735,-114.7695
28985000000,-7.3792076,-116.59868
29040000000,-7.9275293,-113.35105
29095000000,-7.7629447,60.417171
29150000000,-7.2929993,-113.63227
29205000000,-7.4024134,61.430817
29260000000,-6.3339024,65.80545
29315000000,-7.3384247,57.473202
29370000000,-8.0521307,66.603233
29425000000,-6.789381,67.770638
29480000000,-8.9311199,55.457638
29535000000,-8.1194925,69.093719
29590000000,-6.3774161,63.986588
29645000000,-7.2515893,60.52943
29700000000,-7.0970106,62.678406
29755000000,-7.9632883,66.723953
29810000000,-7.1191111,64.190155
29865000000,-8.1135187,56.229259
29920000000,-8.4937859,71.723564
29975000000,-6.7981029,64.352333
30030000000,-7.6825471,61.03849
30085000000,-8.4984007,60.719353
30140000000,-8.0139332,70.053139
30195000000,-6.9740329,62.92144
30250000000,-8.2559652,55.599239
30305000000,-8.4727535,71.488815
30360000000,-6.8916225,64.788139
30415000000,-8.0238876,63.252205
30470000000,-7.8597054,69.652405
30525000000,-8.2599764,61.649479
30580000000,-8.0250292,70.355721
30635000000,-7.9990869,61.477974
30690000000,-7.8507824,64.486023
30745000000,-7.7290816,65.265213
30800000000,-8.2004633,69.241127
30855000000,-6.8286572,65.632797
30910000000,-8.8327684,64.602142
30965000000,-8.2954121,66.428963
31020000000,-7.6266046,58.689144
31075000000,-8.634366,55.082169
31130000000,-7.7965093,64.755066
31185000000,-8.3389969,67.783607
31240000000,-8.3117027,71.500801
31295000000,-8.7008057,68.201683
31350000000,-8.9907608,66.943985
31405000000,-8.557848,63.35215
31460000000,-8.3914547,59.016727
31515000000,-8.7741919,59.616577
31570000000,-9.1715164,69.82618
31625000000,-7.6055989,71.846817
31680000000,-8.5801888,69.4468
31735000000,-9.5183544,70.502686
31790000000,-9.2731638,71.185966
31845000000,-8.4123697,68.319099
31900000000,-8.559288,52.202785
31955000000,-9.5174046,72.535309
32010000000,-7.6578479,74.268799
32065000000,-9.0704975,64.63916
32120000000,-9.2070751,75.426033
32175000000,-9.3788366,72.817818
32230000000,-8.364851,70.325592
32285000000,-7.9185095,58.166355
32340000000,-9.4605312,67.216766
32395000000,-7.6542916,73.466469
32450000000,-8.6927729,62.858109
32505000000,-9.319129,70.840309
32560000000,-9.3119869,68.797089
32615000000,-9.8044615,72.12072
32670000000,-7.1312237,68.190193
