!CSV A.01.01
!Keysight Technologies,N5224B,MY57181201,A.12.70.07
!Date: Friday, July 22, 2022 14:52:09
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21(DB),S21(DEG)
22000000000,-0.85858357,-176.71442
22055000000,-1.1583725,-178.77339
22110000000,-1.1569252,-178.19824
22165000000,-1.1358992,-179.58003
22220000000,-1.2659559,179.7608
22275000000,-1.3440365,-179.28673
22330000000,-1.0131321,-179.32674
22385000000,-1.2912674,179.62352
22440000000,-1.3793833,-179.71173
22495000000,-1.2205701,179.0672
22550000000,-1.5040002,177.65901
22605000000,-1.5493393,-179.96031
22660000000,-1.3118999,179.2309
22715000000,-1.6036148,178.07339
22770000000,-1.4802896,179.03116
22825000000,-1.2369685,177.05228
22880000000,-1.5122643,175.95026
22935000000,-1.6552253,177.00607
22990000000,-1.517736,176.48412
23045000000,-1.5405786,175.38339
23100000000,-1.4198687,175.25665
23155000000,-1.3896556,175.26454
23210000000,-1.5000123,173.98941
23265000000,-1.8111341,174.75218
23320000000,-1.7708902,175.56775
23375000000,-1.8760091,173.98628
23430000000,-1.8290064,174.70798
23485000000,-1.7326221,171.82863
23540000000,-2.1166971,172.12469
23595000000,-1.7322404,173.88133
23650000000,-1.5711694,171.12711
23705000000,-2.0439816,173.28024
23760000000,-1.9472765,174.3692
23815000000,-1.7495462,172.51663
23870000000,-2.0136042,170.99197
23925000000,-1.9714394,171.97527
23980000000,-1.5654947,170.07787
24035000000,-2.1107199,168.32782
24090000000,-1.9836228,170.33937
24145000000,-2.1719499,171.38867
24200000000,-1.8055507,171.08658
24255000000,-2.1286039,168.54356
24310000000,-2.0288324,170.47887
24365000000,-2.058655,168.81607
24420000000,-2.1215115,167.48209
24475000000,-2.2194912,169.07164
24530000000,-2.1222875,168.8952
24585000000,-2.0719039,170.25607
24640000000,-1.8176008,167.55365
24695000000,-2.1830194,167.47198
24750000000,-2.1841998,167.07278
24805000000,-2.1956873,166.60307
24860000000,-2.4702458,166.34346
24915000000,-2.2706113,168.58949
24970000000,-2.0475504,167.54086
25025000000,-1.9488871,166.8078
25080000000,-2.3090339,163.60838
25135000000,-2.4394631,166.87294
25190000000,-2.372263,164.2952
25245000000,-2.5591977,164.53036
25300000000,-2.580925,166.5743
25355000000,-1.8678174,168.16553
25410000000,-1.8833888,164.32242
25465000000,-2.3311439,164.78252
25520000000,-2.3170292,164.86884
25575000000,-2.2284472,162.61484
25630000000,-2.8053353,162.60501
25685000000,-2.5454893,166.9698
25740000000,-2.0334713,164.2205
25795000000,-2.110424,162.6297
25850000000,-2.1480894,162.77423
25905000000,-2.0746436,163.68193
25960000000,-2.2325547,161.95807
26015000000,-2.6588771,163.37955
26070000000,-2.5830843,165.48729
26125000000,-2.0646751,163.42761
26180000000,-1.9382025,160.91605
26235000000,-2.217623,161.32001
26290000000,-2.0573075,162.22824
26345000000,-1.9895763,159.08945
26400000000,-2.7025511,158.8555
26455000000,-2.6625707,163.50455
26510000000,-1.9176495,162.15092
26565000000,-2.1019478,159.2612
26620000000,-2.1471622,161.09279
26675000000,-1.7316554,160.34871
26730000000,-1.8675532,157.56287
26785000000,-2.5139263,159.60907
26840000000,-2.1788571,161.73079
26895000000,-2.0500054,160.19887
26950000000,-2.1665149,158.75911
27005000000,-1.7920612,158.20827
27060000000,-1.8788581,157.13728
27115000000,-1.7546237,157.61133
27170000000,-1.9182718,155.51471
27225000000,-2.2967215,155.64842
27280000000,-2.3207819,158.59737
27335000000,-1.9379672,158.15154
27390000000,-2.0989332,156.53329
27445000000,-2.232213,156.0889
27500000000,-1.712814,156.15843
27555000000,-1.6705593,151.60454
27610000000,-2.3539095,153.95811
27665000000,-1.9027702,157.94382
27720000000,-1.5814809,155.37703
27775000000,-2.1179144,154.58635
27830000000,-1.952503,156.07388
27885000000,-1.3937378,154.71094
27940000000,-1.6054584,150.21675
27995000000,-2.0620492,151.75497
28050000000,-1.9195507,153.77531
28105000000,-1.6483843,151.82068
28160000000,-1.961707,152.74854
28215000000,-1.8280467,153.22595
28270000000,-1.495122,153.92029
28325000000,-1.505398,150.0963
28380000000,-1.7573664,148.67784
28435000000,-1.7364271,150.61497
28490000000,-1.4467844,149.76358
28545000000,-1.8594035,150.80629
28600000000,-1.6598262,150.8829
28655000000,-1.7081177,149.66122
28710000000,-1.1346531,149.79135
28765000000,-1.2359558,146.32397
28820000000,-1.345577,147.63969
28875000000,-1.4175465,147.01852
28930000000,-1.6984178,146.89786
28985000000,-1.7464154,148.12489
29040000000,-1.4925294,147.87474
29095000000,-1.2271439,146.94246
29150000000,-0.98298109,144.53496
29205000000,-1.3001744,143.101
29260000000,-1.3882906,143.69737
29315000000,-1.4670968,144.39127
29370000000,-1.4849375,143.65694
29425000000,-1.6273437,146.59688
29480000000,-1.0182729,145.53642
29535000000,-0.98903,142.85703
29590000000,-1.0203271,140.82823
29645000000,-1.2665316,140.23283
29700000000,-1.1439511,141.28461
29755000000,-1.5063736,139.96783
29810000000,-1.5086286,143.4032
29865000000,-0.82075924,142.82303
29920000000,-0.89898723,138.56163
29975000000,-1.1497687,140.68909
30030000000,-0.98950028,139.36882
30085000000,-0.93238223,136.6741
30140000000,-1.4433962,137.78342
30195000000,-1.2332786,140.88191
30250000000,-0.66716528,139.01096
30305000000,-0.94440931,137.8175
30360000000,-0.79749066,137.97733
30415000000,-0.8763696,135.033
30470000000,-1.0910462,134.54506
30525000000,-0.9784925,136.96532
30580000000,-0.76674831,134.27304
30635000000,-1.0797904,135.51541
30690000000,-0.58618981,136.62657
30745000000,-0.63604909,133.14752
30800000000,-0.96315008,133.43155
30855000000,-0.79331583,132.97124
30910000000,-0.78133529,131.55536
30965000000,-0.86268824,132.18456
31020000000,-0.82976866,132.43144
31075000000,-0.38671881,133.01688
31130000000,-0.38839102,129.83984
31185000000,-0.76035875,130.78448
31240000000,-0.56697452,129.74313
31295000000,-0.84534335,127.94436
31350000000,-0.88455766,128.70369
31405000000,-0.62058371,129.3056
31460000000,-0.52781677,127.85323
31515000000,-0.36469409,129.10927
31570000000,-0.41434655,125.22443
31625000000,-0.68296593,125.47931
31680000000,-0.51512867,126.33072
31735000000,-0.35945079,125.09318
31790000000,-0.68521291,124.54182
31845000000,-0.65809101,126.81084
31900000000,-0.227553,124.29002
31955000000,-0.50202221,122.92089
32010000000,-0.51848727,123.33562
32065000000,-0.34775385,122.76514
32120000000,-0.38654852,120.21177
32175000000,-0.60271031,121.61382
32230000000,-0.42320344,123.10389
32285000000,-0.24506001,121.44328
32340000000,-0.44988015,120.90515
32395000000,-0.36641246,120.07574
32450000000,-0.06241817,118.50086
32505000000,-0.36561099,116.94922
32560000000,-0.24132542,116.98219
32615000000,-0.68494141,118.64875
32670000000,-0.28460616,120.32771
32725000000,-0.18662898,115.19233
32780000000,-0.40569824,116.22334
32835000000,-0.14981726,115.58814
32890000000,-0.18554166,116.9684
32945000000,-0.13348228,114.69836
33000000000,-0.80746835,114.01705
END

