!CSV A.01.01
!Keysight Technologies,N5224B,MY57181201,A.12.70.07
!Date: Friday, July 22, 2022 14:52:34
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S12(DB),S12(DEG)
22000000000,-0.86444372,-176.87379
22055000000,-1.2023718,-178.59972
22110000000,-1.1288655,-178.21364
22165000000,-1.1209959,-179.66309
22220000000,-1.257584,179.81624
22275000000,-1.3493035,-179.51704
22330000000,-0.99315852,-179.43535
22385000000,-1.3197629,179.06822
22440000000,-1.3690732,179.91589
22495000000,-1.1996855,178.8669
22550000000,-1.5399026,177.59108
22605000000,-1.5167542,-179.94522
22660000000,-1.3169045,178.87656
22715000000,-1.5955913,177.65057
22770000000,-1.4805669,179.01703
22825000000,-1.2435331,177.29141
22880000000,-1.4478058,175.772
22935000000,-1.6529425,176.44914
22990000000,-1.5567666,176.51242
23045000000,-1.5006237,175.43115
23100000000,-1.4424614,174.78008
23155000000,-1.3381207,174.95335
23210000000,-1.5669782,173.84875
23265000000,-1.902542,175.05772
23320000000,-1.7528775,175.63675
23375000000,-1.8664608,173.86127
23430000000,-1.8570187,174.73212
23485000000,-1.7560344,171.91763
23540000000,-2.0765688,172.17239
23595000000,-1.7274075,173.5858
23650000000,-1.6175183,171.23541
23705000000,-2.0159805,173.54434
23760000000,-1.9755069,174.1803
23815000000,-1.7856668,172.77003
23870000000,-2.0083551,170.84334
23925000000,-1.9960767,172.10913
23980000000,-1.5214182,169.68437
24035000000,-2.0898333,168.46558
24090000000,-1.9799733,170.36827
24145000000,-2.1556578,171.1268
24200000000,-1.7911794,171.13251
24255000000,-2.1024399,168.57875
24310000000,-1.9749331,170.00073
24365000000,-2.0680413,168.4953
24420000000,-2.2203953,167.42186
24475000000,-2.1329355,169.22659
24530000000,-2.0763769,168.74258
24585000000,-2.0572557,170.08893
24640000000,-1.9017617,167.40675
24695000000,-2.1726873,167.49576
24750000000,-2.1911368,166.92107
24805000000,-2.2058244,166.70212
24860000000,-2.4465053,166.22925
24915000000,-2.1951177,168.90625
24970000000,-2.0715685,167.46143
25025000000,-1.9619547,166.5251
25080000000,-2.4113927,163.69415
25135000000,-2.4593499,167.05786
25190000000,-2.3523824,164.15532
25245000000,-2.5707045,164.50984
25300000000,-2.5147686,166.46828
25355000000,-1.9189246,167.99706
25410000000,-1.8750184,164.41515
25465000000,-2.3585644,164.95705
25520000000,-2.2344346,164.88982
25575000000,-2.2272522,162.44907
25630000000,-2.857079,162.92369
25685000000,-2.4855833,166.82597
25740000000,-1.9796455,164.25987
25795000000,-2.0012896,162.56151
25850000000,-2.181761,162.83072
25905000000,-2.0746205,163.67451
25960000000,-2.3212864,161.81645
26015000000,-2.6239223,163.18137
26070000000,-2.5934095,165.19026
26125000000,-2.0262575,163.51367
26180000000,-1.9197572,160.8287
26235000000,-2.23054,161.06755
26290000000,-2.0340624,161.88968
26345000000,-2.0269272,159.07159
26400000000,-2.6551545,159.29549
26455000000,-2.6350751,163.40587
26510000000,-1.8910958,161.91309
26565000000,-2.0078285,158.61035
26620000000,-2.2039633,160.99347
26675000000,-1.7055405,160.50941
26730000000,-1.9374416,157.05185
26785000000,-2.5035994,159.36652
26840000000,-2.2176738,161.37968
26895000000,-2.0825443,160.41588
26950000000,-2.1661696,158.36105
27005000000,-1.8162098,158.25494
27060000000,-1.874979,156.71559
27115000000,-1.8655902,157.53709
27170000000,-1.8456372,155.58517
27225000000,-2.2965164,155.83673
27280000000,-2.2212512,158.44885
27335000000,-1.9517406,157.78622
27390000000,-2.1142132,156.69635
27445000000,-2.2361279,156.12376
27500000000,-1.7502899,156.44749
27555000000,-1.669261,151.34801
27610000000,-2.3347728,153.91364
27665000000,-1.8067607,157.86333
27720000000,-1.6011662,155.3313
27775000000,-2.0550177,154.93993
27830000000,-1.9328147,156.01938
27885000000,-1.5143967,154.62061
27940000000,-1.5580188,149.69299
27995000000,-2.0822206,151.86507
28050000000,-1.8508813,153.62604
