!CSV A.01.01
!Keysight Technologies,N5224B,MY57181201,A.12.70.07
!Date: Thursday, July 14, 2022 17:29:13
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S12(DB),S12(DEG)
29000000000,-24.176023,-48.068043
29020000000,-24.279099,-63.211086
29040000000,-24.254528,-81.561646
29060000000,-24.101887,-96.483047
29080000000,-24.190426,-114.65507
29100000000,-24.281017,-131.69099
29120000000,-24.357121,-147.17041
29140000000,-24.082357,-164.14568
29160000000,-24.042549,179.08998
29180000000,-23.694939,161.27931
29200000000,-23.804993,142.87297
29220000000,-23.893064,124.99957
29240000000,-23.82317,108.61387
29260000000,-23.926844,91.302277
29280000000,-23.755722,75.232887
29300000000,-23.874121,57.400597
29320000000,-23.878578,39.647221
29340000000,-23.886206,22.856911
29360000000,-23.806614,5.0877366
29380000000,-24.069302,-12.107469
29400000000,-23.978449,-29.35014
29420000000,-24.261368,-45.192936
29440000000,-23.93638,-61.620388
29460000000,-23.902147,-79.576874
29480000000,-23.933714,-98.205154
29500000000,-24.075947,-113.64825
29520000000,-24.050741,-130.4213
29540000000,-24.176453,-146.64481
29560000000,-24.048834,-161.5006
29580000000,-23.760469,-178.55589
29600000000,-23.689079,162.30022
29620000000,-23.547415,146.2037
29640000000,-23.625837,126.78265
29660000000,-23.748381,110.36763
29680000000,-23.545797,94.080872
29700000000,-23.296427,75.461014
29720000000,-23.131247,57.660896
29740000000,-23.3489,39.288761
29760000000,-23.449776,20.747597
29780000000,-23.477837,5.0084391
29800000000,-23.700943,-12.802754
29820000000,-23.76569,-29.316719
29840000000,-23.754551,-45.816605
29860000000,-23.881079,-62.557198
29880000000,-23.704346,-80.883774
29900000000,-23.920719,-99.076912
29920000000,-24.217422,-115.65459
29940000000,-24.132799,-131.00696
29960000000,-24.13879,-147.67049
29980000000,-23.913406,-163.9465
30000000000,-23.832672,-179.5809
30020000000,-23.636883,162.46445
30040000000,-23.639673,144.98259
30060000000,-23.72945,129.0583
30080000000,-23.653614,112.23063
30100000000,-23.486813,96.346062
30120000000,-23.060196,77.897476
30140000000,-23.054148,57.998703
30160000000,-23.149784,40.127953
30180000000,-23.131622,22.531067
30200000000,-23.314539,3.7190239
30220000000,-23.455875,-11.447596
30240000000,-23.335615,-29.829376
30260000000,-23.274166,-46.294197
30280000000,-23.424078,-65.712074
30300000000,-23.658901,-82.099831
30320000000,-23.779558,-98.463615
30340000000,-23.755264,-116.27753
30360000000,-24.23543,-132.31975
30380000000,-23.921278,-147.15309
30400000000,-24.037582,-166.70667
30420000000,-23.90366,178.34425
30440000000,-24.098497,160.86389
30460000000,-23.900623,143.38095
30480000000,-24.184277,129.13045
30500000000,-23.806841,112.52566
30520000000,-23.535107,96.628227
30540000000,-23.286091,77.865891
30560000000,-23.439751,60.288551
30580000000,-23.329987,42.352665
30600000000,-23.44363,26.828506
30620000000,-23.189095,7.7640843
30640000000,-23.19632,-8.6765623
30660000000,-23.415323,-27.247164
30680000000,-22.866299,-44.415085
30700000000,-23.236702,-65.578629
30720000000,-23.604294,-82.162689
30740000000,-23.590742,-98.036171
30760000000,-23.623257,-114.46767
30780000000,-23.522264,-132.92061
30800000000,-23.72081,-148.97417
30820000000,-23.853693,-165.64366
30840000000,-23.68778,175.23279
30860000000,-24.125801,162.75212
30880000000,-23.984444,143.59258
30900000000,-24.042124,127.75291
30920000000,-24.303419,112.43926
30940000000,-23.852856,95.314606
30960000000,-23.76063,77.838608
30980000000,-23.790184,60.955772
31000000000,-23.919315,42.902134
31020000000,-23.820471,28.314222
31040000000,-23.696941,12.79581
31060000000,-23.047361,-7.4372931
