!CSV A.01.01
!Keysight Technologies,N5224B,MY57181201,A.12.70.07
!Date: Thursday, July 14, 2022 17:30:26
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S12(DB),S12(DEG)
29000000000,-22.871378,12.786025
29020000000,-23.051407,-4.3963165
29040000000,-22.843151,-21.650415
29060000000,-22.880547,-38.496208
29080000000,-22.807053,-55.655781
29100000000,-22.849491,-73.060989
29120000000,-22.954411,-90.414818
29140000000,-22.838221,-107.20555
29160000000,-22.857302,-124.51112
29180000000,-22.848915,-141.37936
29200000000,-22.933311,-158.80998
29220000000,-22.918289,-175.83781
29240000000,-22.87324,167.32045
29260000000,-22.900967,150.34596
29280000000,-22.848959,133.48099
29300000000,-22.870369,116.33682
29320000000,-22.788639,98.85881
29340000000,-22.912928,81.901321
29360000000,-22.824558,64.607811
29380000000,-22.839964,47.799454
29400000000,-22.881857,30.705406
29420000000,-22.903816,13.988955
29440000000,-22.841164,-2.7282138
29460000000,-22.784126,-20.380175
29480000000,-22.765476,-37.286972
29500000000,-22.771351,-54.144268
29520000000,-22.718359,-71.363731
29540000000,-22.659008,-89.054192
29560000000,-22.774612,-106.08578
29580000000,-22.701571,-122.97478
29600000000,-22.680742,-140.42168
29620000000,-22.678701,-157.3054
29640000000,-22.727764,-174.34384
29660000000,-22.825777,168.71565
29680000000,-22.665913,151.72697
29700000000,-22.673813,134.45215
29720000000,-22.648926,117.16714
29740000000,-22.693697,100.09655
29760000000,-22.70472,83.171158
29780000000,-22.657368,65.919594
29800000000,-22.684515,49.301807
29820000000,-22.679171,31.512793
29840000000,-22.599014,14.689884
29860000000,-22.708488,-2.2471652
29880000000,-22.599598,-18.951851
29900000000,-22.522476,-36.746304
29920000000,-22.581341,-53.502579
29940000000,-22.558088,-70.602417
29960000000,-22.579714,-87.116196
29980000000,-22.398376,-105.47283
30000000000,-22.569841,-122.96165
30020000000,-22.507195,-139.47301
30040000000,-22.412546,-157.07407
30060000000,-22.625502,-173.74881
30080000000,-22.580446,169.26141
30100000000,-22.499092,152.50894
30120000000,-22.530216,135.48955
30140000000,-22.558273,117.65829
30160000000,-22.492571,100.97823
30180000000,-22.331654,83.757782
30200000000,-22.485676,66.31176
30220000000,-22.590015,49.357975
30240000000,-22.535049,32.465389
30260000000,-22.433403,14.753542
30280000000,-22.602308,-1.657154
30300000000,-22.525307,-18.51535
30320000000,-22.478876,-35.443329
30340000000,-22.357653,-53.581882
30360000000,-22.592045,-70.600723
30380000000,-22.451473,-86.933075
30400000000,-22.344387,-105.39907
30420000000,-22.42177,-121.76084
30440000000,-22.427876,-138.79327
30460000000,-22.516396,-156.59055
30480000000,-22.532055,-173.88713
30500000000,-22.577347,169.89813
30520000000,-22.450172,153.07303
30540000000,-22.496689,135.22498
30560000000,-22.581112,118.08866
30580000000,-22.529697,101.81022
30600000000,-22.373682,84.842308
30620000000,-22.364002,67.093597
30640000000,-22.502666,49.316277
30660000000,-22.61009,33.169327
30680000000,-22.423403,16.621258
30700000000,-22.37727,-1.5758421
30720000000,-22.700655,-18.608925
30740000000,-22.533737,-34.66832
30760000000,-22.551426,-51.641212
30780000000,-22.413757,-68.962822
30800000000,-22.598597,-86.341698
30820000000,-22.451059,-103.02528
30840000000,-22.441891,-121.0188
30860000000,-22.609653,-137.22284
30880000000,-22.397816,-154.80809
30900000000,-22.600098,-173.1745
30920000000,-22.709707,170.81192
30940000000,-22.605883,154.69608
30960000000,-22.461863,137.55772
30980000000,-22.512609,120.03756
31000000000,-22.585953,102.86457
31020000000,-22.661921,87.188507
31040000000,-22.443087,69.880493
31060000000,-22.483078,51.548344
31080000000,-22.55448,34.623051
31100000000,-22.608448,18.260277
31120000000,-22.377455,1.944012
31140000000,-22.376377,-17.004124
31160000000,-22.721083,-32.810711
31180000000,-22.450142,-49.666264
31200000000,-22.547365,-67.098167
31220000000,-22.559084,-83.49453
31240000000,-22.480057,-101.62949
31260000000,-22.527164,-118.19215
31280000000,-22.537235,-136.01666
31300000000,-22.698286,-151.69034
31320000000,-22.487732,-168.49095
31340000000,-22.447079,172.9442
31360000000,-22.570475,156.43945
31380000000,-22.569395,140.22647
31400000000,-22.466925,122.81679
31420000000,-22.505617,105.34366
31440000000,-22.486475,88.485466
31460000000,-22.559061,71.809868
31480000000,-22.500919,55.23436
31500000000,-22.421682,37.604565
31520000000,-22.472879,21.690685
31540000000,-22.345039,3.7140794
31560000000,-22.466158,-13.752003
31580000000,-22.537788,-30.077417
31600000000,-22.385023,-46.123871
31620000000,-22.258926,-64.10775
31640000000,-22.341305,-82.69149
31660000000,-22.691151,-97.651978
31680000000,-22.230171,-114.48512
31700000000,-22.314558,-133.06494
31720000000,-22.368715,-150.32329
31740000000,-22.461401,-166.98077
31760000000,-22.387791,176.74908
31780000000,-22.320772,159.29897
31800000000,-22.312584,141.93109
31820000000,-22.422075,125.12239
31840000000,-22.405121,108.64806
31860000000,-22.475527,91.631042
31880000000,-22.241564,75.057198
31900000000,-22.271881,56.781525
31920000000,-22.339712,39.69672
31940000000,-22.40041,23.417948
31960000000,-22.290787,7.0896349
31980000000,-22.122934,-11.350832
32000000000,-22.304316,-29.821129
