!CSV A.01.01
!Keysight Technologies,N5224B,MY57181201,A.12.70.07
!Date: Thursday, July 14, 2022 17:39:03
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S12(DB),S12(DEG)
29000000000,-70.651085,-47.414398
29020000000,-64.180855,15.780462
29040000000,-66.610695,-13.291903
29060000000,-62.522614,-51.492771
29080000000,-66.900826,-10.980314
29100000000,-66.707916,-89.237938
29120000000,-82.73748,-85.334183
29140000000,-66.020897,-91.052521
29160000000,-63.724461,-120.3129
29180000000,-64.128662,-127.50703
29200000000,-71.190765,169.7812
29220000000,-67.174805,121.665
29240000000,-78.350998,-170.74083
29260000000,-67.057442,-93.085388
29280000000,-68.132942,141.73347
29300000000,-70.182373,167.4953
29320000000,-65.795143,145.8857
29340000000,-75.656151,-26.68244
29360000000,-64.376732,87.455879
29380000000,-66.26445,60.2915
29400000000,-74.103355,12.244336
29420000000,-66.867188,34.28508
29440000000,-62.762142,11.066923
29460000000,-59.994713,-32.426399
29480000000,-66.522026,-58.283802
29500000000,-64.052818,-109.06573
29520000000,-68.499252,147.6333
29540000000,-67.812035,-140.77737
29560000000,-71.786499,75.923836
29580000000,-66.975693,-107.57581
29600000000,-70.489067,-161.28445
29620000000,-72.549248,-85.487511
29640000000,-65.245354,-146.39154
29660000000,-58.280346,163.2598
29680000000,-73.831512,174.7328
29700000000,-64.554863,116.06013
29720000000,-64.991341,91.09893
29740000000,-71.022682,-41.133797
29760000000,-72.082794,62.61121
29780000000,-68.747223,60.718246
29800000000,-69.213264,5.9519005
29820000000,-64.870308,14.549477
29840000000,-79.552971,-20.869783
29860000000,-69.545914,-62.747795
29880000000,-68.844368,-149.91743
29900000000,-67.8153,-118.80599
29920000000,-78.473167,-176.34029
29940000000,-68.816055,174.34738
29960000000,-64.901962,-60.39325
29980000000,-70.608871,-15.60417
30000000000,-65.642403,-95.239738
30020000000,-75.36042,-76.658035
30040000000,-69.161049,-141.78384
30060000000,-70.924576,174.79752
30080000000,-68.008606,-162.19916
30100000000,-75.727814,-165.7095
30120000000,-70.717148,54.26923
30140000000,-64.380058,46.417873
30160000000,-61.468575,10.20435
30180000000,-74.395294,43.77647
30200000000,-71.922028,95.670082
30220000000,-69.351074,65.05748
