!CSV A.01.01
!Keysight Technologies,N5224B,MY57181201,A.12.70.07
!Date: Wednesday, July 27, 2022 10:57:04
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21(DB),S21(DEG)
2000000000,-0.24543765,-16.295931
2005000000,-0.47199246,-14.891327
2010000000,-0.43314719,-14.020449
2015000000,-0.31064838,-13.450879
2020000000,-0.32741028,-12.970487
2025000000,-0.1243163,-12.491444
2030000000,0.020711988,-12.506838
2035000000,0.3325735,-13.628695
2040000000,0.20874389,-16.304001
2045000000,-0.014301863,-16.66684
2050000000,-0.15144651,-16.623877
2055000000,-0.14787129,-15.603977
2060000000,-0.16539547,-15.69517
2065000000,-0.085270099,-14.797784
2070000000,0.076183744,-14.969872
2075000000,0.27141371,-16.401968
2080000000,0.13719323,-18.298771
2085000000,-0.10235976,-18.146364
2090000000,-0.12117507,-18.095028
2095000000,-0.22805053,-17.810026
2100000000,-0.28746024,-17.552282
2105000000,-0.2793968,-15.832302
2110000000,-0.095932521,-16.074633
2115000000,0.043226678,-16.384922
2120000000,0.039566249,-17.671083
2125000000,-0.14245646,-17.612617
2130000000,-0.074260756,-16.79677
2135000000,-0.055321757,-17.648365
2140000000,-0.18349108,-17.044207
2145000000,-0.17839739,-15.855301
2150000000,0.081785344,-15.46043
2155000000,0.20050649,-16.254499
2160000000,0.16487662,-17.044094
2165000000,0.17791136,-16.440929
2170000000,0.37604547,-16.698168
2175000000,0.44554099,-18.689293
2180000000,0.17923136,-19.985106
2185000000,-0.081235006,-19.274467
2190000000,-0.18037374,-18.676067
2195000000,-0.27691761,-16.678339
2200000000,0.0046988828,-15.108631
2205000000,0.33225757,-16.082844
2210000000,0.27690905,-17.595352
2215000000,0.20184436,-18.010221
2220000000,0.0032552164,-18.044992
2225000000,0.0014555661,-17.39539
2230000000,0.0029840008,-16.778345
2235000000,0.124035,-16.803745
2240000000,0.14545216,-17.202778
2245000000,-0.015751882,-17.885437
2250000000,0.051210605,-16.279654
2255000000,0.22361876,-18.509941
2260000000,-0.12052724,-18.743378
2265000000,-0.25248301,-18.700134
2270000000,-0.43638209,-17.288986
2275000000,-0.40218708,-17.093624
2280000000,-0.49303043,-15.90275
2285000000,-0.42483863,-14.749811
2290000000,-0.19196445,-14.484482
2295000000,-0.24641173,-15.567511
2300000000,-0.34927422,-14.665166
2305000000,-0.093468666,-15.041113
2310000000,-0.24278222,-16.423189
2315000000,-0.41456866,-16.047863
2320000000,-0.51907879,-15.203337
2325000000,-0.51586407,-14.367733
2330000000,-0.35369134,-12.864291
2335000000,-0.1043744,-13.817182
2340000000,-0.1278377,-15.274976
2345000000,-0.19987175,-15.573958
2350000000,-0.27376726,-16.021227
2355000000,-0.3924903,-15.782145
2360000000,-0.39575207,-14.54212
2365000000,-0.23729043,-14.33791
2370000000,-0.12780787,-14.487774
2375000000,0.058025785,-15.091102
2380000000,0.15025444,-16.787603
2385000000,0.13645296,-18.374653
2390000000,-0.16102138,-19.988317
2395000000,-0.30479214,-19.124409
2400000000,-0.40128499,-19.405891
2405000000,-0.45348972,-18.517931
2410000000,-0.38972992,-18.021215
2415000000,-0.27895129,-18.886024
2420000000,-0.34972271,-19.34877
2425000000,-0.38877049,-18.990118
2430000000,-0.24783009,-19.243193
2435000000,-0.29903892,-20.288946
2440000000,-0.48623285,-21.001253
2445000000,-0.5253883,-19.397421
2450000000,-0.43223992,-19.680756
2455000000,-0.42492297,-18.94533
2460000000,-0.19899645,-19.18082
2465000000,-0.20522507,-20.775723
2470000000,-0.28998086,-20.188593
2475000000,-0.1666701,-20.544191
2480000000,-0.22707237,-21.393791
2485000000,-0.28867379,-20.790632
2490000000,-0.21449897,-21.528238
2495000000,-0.3296771,-20.499374
2500000000,-0.12226253,-20.84189
2505000000,-0.16015832,-21.676939
2510000000,-0.26083228,-21.804003
2515000000,-0.30506873,-20.342697
2520000000,-0.010077297,-20.784943
2525000000,-0.17828883,-21.961966
2530000000,-0.19502524,-21.415047
2535000000,-0.28085759,-21.378073
2540000000,-0.29907292,-20.948349
2545000000,-0.47010276,-20.555201
2550000000,-0.47950646,-17.227936
2555000000,0.10855064,-16.396584
2560000000,0.17431356,-19.190617
2565000000,-0.059576381,-18.893497
2570000000,0.082530513,-17.206448
2575000000,0.28624243,-18.336393
2580000000,0.17782517,-18.379679
2585000000,0.1531807,-17.921789
2590000000,0.34150931,-17.239868
2595000000,0.39744768,-18.625231
2600000000,0.28938568,-18.55135
2605000000,0.24880488,-18.327288
2610000000,0.33989498,-17.803701
2615000000,0.32921639,-18.769209
2620000000,0.17494394,-18.177639
2625000000,0.31325543,-17.976503
2630000000,0.33843967,-18.758892
2635000000,0.060386006,-20.14535
2640000000,-0.053974889,-17.73007
2645000000,-0.043475345,-18.075832
2650000000,-0.042624652,-16.606041
2655000000,0.083188519,-16.978308
2660000000,0.078643277,-17.218807
2665000000,-0.0513281,-17.94186
2670000000,-0.071164422,-17.070227
2675000000,-0.086016223,-17.674583
2680000000,-0.19140884,-17.21092
2685000000,-0.21738927,-17.590269
2690000000,-0.33390376,-16.872263
2695000000,-0.16027434,-16.787476
2700000000,-0.29784834,-17.98407
