!CSV A.01.01
!Keysight Technologies,N5224B,MY57181201,A.12.70.07
!Date: Tuesday, July 26, 2022 15:51:20
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S12(DB),S12(DEG)
22000000000,-0.75765204,-60.775509
22055000000,-0.82119083,-60.323078
22110000000,-0.71411943,-60.19656
22165000000,-0.73403716,-61.015118
22220000000,-0.71010542,-60.424477
22275000000,-0.80075741,-62.705414
22330000000,-1.0605568,-61.339943
22385000000,-0.98764819,-61.211193
22440000000,-1.0928594,-61.774021
22495000000,-0.94635528,-61.899525
22550000000,-1.0648736,-62.377289
22605000000,-1.0673096,-63.120663
22660000000,-1.0581592,-63.130531
22715000000,-1.2387112,-62.581341
22770000000,-1.0870265,-61.505409
22825000000,-1.4253931,-63.655418
22880000000,-1.3924854,-61.507706
22935000000,-1.0907371,-61.095619
22990000000,-1.3367785,-61.117115
23045000000,-1.1526543,-61.604149
23100000000,-1.2419926,-61.722713
23155000000,-1.1716777,-60.536232
23210000000,-1.3023517,-61.268677
23265000000,-1.2906871,-61.802017
23320000000,-1.2198758,-62.321987
23375000000,-0.98118883,-61.37347
23430000000,-1.0288209,-63.695477
23485000000,-1.2483702,-64.274353
23540000000,-1.315868,-62.368725
23595000000,-1.4325532,-64.500061
23650000000,-1.5626121,-63.025887
23705000000,-1.376001,-62.683746
23760000000,-1.2871985,-63.562778
23815000000,-1.5322731,-64.69175
23870000000,-1.4712019,-64.785599
23925000000,-1.5689881,-66.206299
23980000000,-1.7152508,-63.37241
24035000000,-1.643638,-64.365234
24090000000,-1.6486919,-63.643402
24145000000,-1.5366824,-62.695175
24200000000,-1.5564765,-63.430874
24255000000,-1.6127733,-65.088547
24310000000,-1.7548,-64.229309
24365000000,-1.6992391,-64.440689
24420000000,-1.7067236,-63.283379
24475000000,-1.8634545,-62.117683
24530000000,-1.643458,-62.273041
24585000000,-1.5181251,-62.591793
24640000000,-1.5688418,-63.968521
24695000000,-1.7622663,-64.200363
24750000000,-1.5384066,-63.390999
24805000000,-1.6805704,-62.90276
24860000000,-1.6950134,-61.740894
24915000000,-1.6228298,-62.601028
24970000000,-1.6163299,-62.826302
25025000000,-1.6363044,-62.915817
25080000000,-1.6142324,-64.264778
25135000000,-1.5620959,-64.140144
25190000000,-1.5980798,-63.7691
25245000000,-1.8963108,-63.637264
25300000000,-1.9750831,-62.365562
25355000000,-1.7156578,-62.745853
25410000000,-1.5088348,-63.118183
