!CSV A.01.01
!Keysight Technologies,N5224B,MY57181201,A.12.70.07
!Date: Tuesday, July 26, 2022 16:13:46
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S12(DB),S12(DEG)
22000000000,-0.70023072,-33.885773
22055000000,-0.6294384,-32.015469
22110000000,-0.49546379,-32.633488
22165000000,-0.58426839,-33.781239
22220000000,-0.7910974,-33.587719
22275000000,-0.73492599,-33.83511
22330000000,-0.89120167,-33.433781
22385000000,-0.78705841,-33.210999
22440000000,-0.8525328,-33.985176
22495000000,-0.89542544,-33.130264
22550000000,-0.82471216,-32.715809
22605000000,-0.78931856,-32.872486
22660000000,-0.91788679,-32.898117
22715000000,-0.81417137,-33.157982
22770000000,-0.84926212,-34.069839
22825000000,-1.0450625,-33.91428
22880000000,-1.0101624,-32.698509
22935000000,-0.78850013,-33.909828
22990000000,-0.93539262,-32.756306
23045000000,-0.82140762,-32.718182
23100000000,-0.8603304,-33.642727
23155000000,-1.0202953,-33.57346
23210000000,-1.0599639,-33.940521
23265000000,-1.2153319,-34.285763
23320000000,-1.1476527,-33.312443
23375000000,-0.97216988,-33.100361
23430000000,-0.95796824,-33.937088
23485000000,-1.0168707,-33.309242
23540000000,-1.0480658,-33.921001
23595000000,-1.1964124,-34.160793
23650000000,-1.3368353,-32.416855
23705000000,-1.2326018,-32.250813
23760000000,-1.1822215,-33.341667
23815000000,-1.2145908,-33.872471
23870000000,-1.0402341,-33.394699
23925000000,-1.1506354,-34.793774
23980000000,-1.3185414,-33.563129
24035000000,-1.2301545,-32.738293
24090000000,-1.4514432,-32.530922
24145000000,-1.373292,-31.798044
24200000000,-1.3715684,-32.767277
24255000000,-1.1655529,-33.290443
24310000000,-1.2825412,-34.130886
24365000000,-1.3991997,-34.456245
24420000000,-1.4708709,-33.635426
24475000000,-1.5606527,-32.882046
24530000000,-1.4987665,-30.857447
24585000000,-1.2798833,-32.529079
24640000000,-1.3076252,-32.067066
24695000000,-1.1659813,-33.725101
24750000000,-1.3466475,-33.78904
24805000000,-1.5375134,-33.973732
24860000000,-1.6816828,-32.233482
24915000000,-1.4852766,-32.819115
24970000000,-1.5013798,-31.839293
25025000000,-1.2308849,-31.544632
25080000000,-1.1491417,-33.403599
25135000000,-1.5390217,-34.145851
25190000000,-1.6358663,-32.807442
25245000000,-1.563635,-32.814301
25300000000,-1.5043989,-31.473612
25355000000,-1.477513,-31.506359
25410000000,-1.3282797,-31.281054
25465000000,-1.5272815,-32.245014
25520000000,-1.3663825,-33.020275
25575000000,-1.6618788,-34.178806
25630000000,-1.70666,-33.118744
25685000000,-1.5113968,-31.613705
25740000000,-1.5123988,-32.712162
25795000000,-1.6209141,-29.976847
25850000000,-1.27069,-31.069639
25905000000,-1.5389626,-33.272957
25960000000,-1.7806691,-33.098534
26015000000,-1.7318287,-31.214266
26070000000,-1.4932634,-31.62005
26125000000,-1.5130477,-32.176701
26180000000,-1.5260329,-31.462809
26235000000,-1.4409307,-30.466089
26290000000,-1.4798181,-31.43
26345000000,-1.5241456,-31.726635
26400000000,-1.7023782,-32.08049
26455000000,-1.6485444,-30.70207
26510000000,-1.4183954,-31.912584
26565000000,-1.6397641,-32.123024
26620000000,-1.5513437,-30.238464
26675000000,-1.318725,-31.00169
26730000000,-1.4995238,-32.238804
26785000000,-1.5744337,-31.564575
26840000000,-1.5820265,-30.981318
26895000000,-1.5512387,-32.00177
26950000000,-1.6477515,-31.337315
27005000000,-1.5084333,-31.274321
27060000000,-1.4005884,-31.15168
27115000000,-1.4412962,-31.645704
27170000000,-1.4877498,-30.777752
27225000000,-1.4925219,-31.144375
27280000000,-1.4788928,-31.806852
27335000000,-1.5838076,-32.804974
27390000000,-1.8372463,-31.028982
27445000000,-1.4714855,-30.161461
27500000000,-1.4038301,-31.362921
27555000000,-1.4162308,-31.450304
27610000000,-1.5140303,-31.077726
27665000000,-1.3724327,-30.781507
27720000000,-1.5253974,-31.468264
27775000000,-1.7175864,-30.539627
27830000000,-1.6025358,-29.545267
27885000000,-1.4304696,-31.468895
27940000000,-1.5749905,-31.726738
27995000000,-1.2960763,-31.248583
28050000000,-1.1787596,-31.77121
28105000000,-1.3380736,-33.198921
28160000000,-1.7252007,-31.577379
28215000000,-1.6038615,-30.540607
28270000000,-1.5280952,-30.030027
28325000000,-1.4110532,-31.089563
28380000000,-1.4726425,-31.649471
28435000000,-1.4124651,-31.571262
28490000000,-1.2150573,-31.964199
28545000000,-1.5822568,-33.521935
28600000000,-1.6492471,-30.133671
28655000000,-1.3333467,-30.991547
28710000000,-1.3684305,-31.076958
28765000000,-1.3561778,-31.288534
28820000000,-1.1441374,-31.335106
28875000000,-1.446826,-32.661133
28930000000,-1.451198,-31.967262
28985000000,-1.6439677,-31.198948
29040000000,-1.4066206,-31.049671
29095000000,-1.4517878,-31.114902
29150000000,-1.1483035,-30.901812
29205000000,-1.2761257,-32.198189
29260000000,-1.2404435,-32.019581
29315000000,-1.4068366,-32.264622
29370000000,-1.4876819,-31.286163
29425000000,-1.4747643,-30.664385
29480000000,-1.3211734,-31.320175
29535000000,-1.3906918,-31.472109
29590000000,-1.1871786,-31.72044
29645000000,-1.2721522,-31.959934
29700000000,-1.2888516,-32.193451
29755000000,-1.5383929,-31.548538
29810000000,-1.3274474,-31.197992
29865000000,-1.4539418,-31.083508
29920000000,-1.254125,-31.622625
29975000000,-1.2213153,-31.815712
30030000000,-1.2856669,-32.494434
30085000000,-1.3869005,-31.921881
30140000000,-1.2622566,-31.938091
30195000000,-1.3191986,-31.555559
30250000000,-1.2419219,-32.066818
30305000000,-1.2859757,-31.46855
30360000000,-1.2436748,-31.91728
