!CSV A.01.01
!Keysight Technologies,N5224B,MY57181201,A.12.70.07
!Date: Wednesday, July 27, 2022 12:05:06
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S12(DB),S12(DEG)
2000000000,-0.12917522,-2.0189424
2005000000,-0.063302837,-1.2250663
2010000000,0.087588347,-1.7553788
2015000000,0.0463874,-2.0391574
2020000000,0.05426266,-2.105617
2025000000,0.050531913,-2.1671124
2030000000,0.035532534,-2.7659261
2035000000,-0.11412614,-2.062664
2040000000,-0.00057898264,-1.5425757
2045000000,0.052852228,-1.5905808
2050000000,0.053557187,-2.1061518
2055000000,0.11234702,-2.104486
2060000000,0.089295879,-3.1189842
2065000000,-0.089489728,-2.8810644
2070000000,-0.1073271,-2.4921372
2075000000,-0.15744698,-1.7395828
2080000000,-0.01803717,-1.2390085
2085000000,0.011598792,-1.4344369
2090000000,0.079456374,-1.493001
2095000000,0.14628257,-2.0098612
2100000000,0.061343871,-3.1047277
2105000000,-0.13440391,-2.795413
2110000000,-0.16126426,-1.7172192
2115000000,-0.10072304,-1.0089593
2120000000,-0.020323347,-0.57992166
2125000000,0.099180207,-0.56094289
2130000000,0.2445327,-0.36713287
2135000000,0.37508377,-1.5583602
2140000000,0.38536796,-3.3619888
2145000000,0.089644775,-4.2025294
2150000000,-0.075957552,-3.0367405
2155000000,0.012291986,-2.0047507
2160000000,0.082723781,-2.1710606
2165000000,0.065563209,-2.4321361
2170000000,0.065504953,-1.9505074
2175000000,0.22723664,-1.7207683
2180000000,0.27784547,-3.0355487
2185000000,0.1818068,-3.580205
2190000000,0.12089198,-3.7655466
2195000000,0.021721277,-4.2527781
2200000000,-0.21813677,-3.6172543
2205000000,-0.18794921,-1.5779008
2210000000,0.02434561,-0.96913493
2215000000,0.23372526,-1.2211807
2220000000,0.35012284,-2.2493081
2225000000,0.37711215,-3.7119598
2230000000,0.19060847,-4.7428584
2235000000,0.052803904,-4.4228516
2240000000,-0.017219862,-3.9745302
