!CSV A.01.01
!Keysight Technologies,N5224B,MY57181201,A.12.70.07
!Date: Tuesday, July 26, 2022 17:33:56
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(DB),S11(DEG)
2000000000,-10.358765,19.830364
2005000000,-10.197591,6.6927915
2010000000,-10.126229,-12.826021
2015000000,-10.115988,-32.013599
2020000000,-10.106669,-51.434193
2025000000,-10.200523,-71.602562
2030000000,-10.424789,-91.703247
2035000000,-10.665437,-112.01993
2040000000,-10.955166,-132.44157
2045000000,-11.171806,-153.17838
2050000000,-11.379986,-174.5854
2055000000,-11.605762,164.15033
2060000000,-11.726034,143.47221
2065000000,-11.657608,123.0024
2070000000,-11.558063,102.26726
2075000000,-11.435515,82.575951
2080000000,-11.207293,63.539536
2085000000,-10.894446,44.7579
2090000000,-10.534763,25.53713
2095000000,-10.378073,5.7104154
2100000000,-10.384813,-12.867787
2105000000,-10.317878,-31.225481
2110000000,-10.36036,-50.07515
2115000000,-10.507595,-68.614754
2120000000,-10.57507,-86.81662
2125000000,-10.542131,-106.13758
2130000000,-10.542129,-127.17945
2135000000,-10.71829,-148.79353
2140000000,-10.860371,-169.90257
2145000000,-10.8342,168.73222
2150000000,-10.660804,146.65535
2155000000,-10.540544,123.9244
2160000000,-10.466825,102.2822
2165000000,-10.268897,81.441399
2170000000,-10.067487,61.045383
2175000000,-9.8552408,40.984165
2180000000,-9.7309856,21.148718
2185000000,-9.7294922,2.1662457
2190000000,-9.6895714,-16.190245
2195000000,-9.6861801,-34.708015
2200000000,-9.722682,-53.510132
2205000000,-9.8252029,-72.213074
2210000000,-9.8081217,-91.53083
2215000000,-9.8492222,-112.78925
2220000000,-10.059589,-134.74983
2225000000,-10.311423,-156.59004
2230000000,-10.445304,-178.58762
2235000000,-10.476307,158.73889
2240000000,-10.52938,135.76544
2245000000,-10.569909,113.8974
2250000000,-10.502712,92.927269
2255000000,-10.354067,72.697723
2260000000,-10.174439,52.899727
2265000000,-10.053741,33.720837
2270000000,-9.9089766,15.408953
2275000000,-9.7221727,-3.1195092
2280000000,-9.6386194,-22.38122
2285000000,-9.7279797,-41.833778
2290000000,-9.9719973,-61.084663
2295000000,-10.214787,-80.330574
2300000000,-10.533199,-100.36633
2305000000,-10.92192,-120.68839
2310000000,-11.276445,-141.51237
2315000000,-11.583192,-162.48164
2320000000,-11.688109,175.74855
2325000000,-11.782411,153.31061
2330000000,-11.788888,131.66771
2335000000,-11.581373,110.7621
2340000000,-11.235983,89.661415
2345000000,-10.923323,68.516174
2350000000,-10.723729,48.187618
2355000000,-10.568052,28.606495
2360000000,-10.473191,9.3978605
2365000000,-10.461011,-9.7578115
2370000000,-10.62952,-28.878996
2375000000,-10.87894,-47.383671
2380000000,-11.181093,-65.969398
2385000000,-11.437214,-84.935844
2390000000,-11.735243,-105.33318
2395000000,-12.124801,-126.54393
2400000000,-12.468697,-148.15582
2405000000,-12.738201,-170.817
2410000000,-12.943444,166.54994
2415000000,-12.959191,144.07773
2420000000,-12.852696,122.15669
2425000000,-12.584412,100.64568
2430000000,-12.371691,79.549385
2435000000,-12.237192,59.751308
2440000000,-12.136902,41.3442
2445000000,-12.000906,23.669889
2450000000,-11.945421,5.8910904
2455000000,-12.027756,-11.540535
2460000000,-12.146101,-28.79775
2465000000,-12.387124,-47.105049
2470000000,-12.871426,-65.16964
2475000000,-13.325692,-83.149345
2480000000,-13.797584,-102.37842
2485000000,-14.27158,-122.27602
2490000000,-14.563408,-143.75752
2495000000,-14.808112,-167.03242
2500000000,-14.934093,168.92604
2505000000,-15.023256,145.01527
2510000000,-14.931569,123.03445
2515000000,-14.620953,102.4214
2520000000,-14.146046,82.671303
2525000000,-13.724996,63.195492
2530000000,-13.423282,45.165684
2535000000,-13.095773,27.345579
2540000000,-13.005818,9.6714392
2545000000,-12.999468,-7.6498418
2550000000,-13.226455,-24.775799
2555000000,-13.454062,-41.232761
2560000000,-13.689898,-59.144741
2565000000,-14.099635,-78.194038
2570000000,-14.633131,-98.504524
2575000000,-15.263072,-119.97527
2580000000,-15.911448,-142.23315
2585000000,-16.336023,-165.37016
2590000000,-16.576002,171.29294
2595000000,-16.368698,148.87686
2600000000,-15.79252,126.15978
2605000000,-15.140364,104.09046
2610000000,-14.548433,82.265373
2615000000,-14.262868,62.637802
2620000000,-13.885143,45.317371
2625000000,-13.498327,27.635035
2630000000,-13.357846,10.021304
2635000000,-13.361361,-6.7455177
2640000000,-13.361995,-24.008064
2645000000,-13.576203,-42.654697
2650000000,-14.102561,-61.924892
2655000000,-14.868979,-81.180099
2660000000,-15.682252,-100.1651
2665000000,-16.301512,-120.39983
2670000000,-16.758118,-142.70392
2675000000,-16.973879,-167.49516
2680000000,-17.087275,166.58455
2685000000,-16.990471,142.1001
2690000000,-16.550194,119.00468
2695000000,-16.079088,97.047569
2700000000,-15.617199,77.071701
2705000000,-15.259417,58.55933
2710000000,-14.93683,41.546486
2715000000,-14.669115,24.38603
2720000000,-14.684549,7.0333548
2725000000,-15.0278,-9.2469444
2730000000,-15.373399,-24.326849
2735000000,-15.784491,-40.330128
2740000000,-16.363358,-57.301182
2745000000,-17.118839,-75.248604
2750000000,-18.022524,-94.627594
2755000000,-18.851639,-115.9408
2760000000,-19.810787,-141.37643
2765000000,-20.763973,-166.78764
2770000000,-20.988457,168.55122
2775000000,-20.388126,143.84094
2780000000,-19.50238,119.17223
2785000000,-18.756504,96.146774
2790000000,-18.193529,76.317154
2795000000,-17.802231,58.807785
2800000000,-17.456852,43.077698
2805000000,-17.29277,27.776871
2810000000,-17.369671,14.225566
2815000000,-17.287865,1.4199332
2820000000,-17.299795,-13.286357
2825000000,-17.678146,-29.33918
2830000000,-18.429661,-44.836376
2835000000,-19.235678,-60.13414
2840000000,-20.033937,-78.195831
2845000000,-21.123703,-99.334564
2850000000,-22.453207,-124.46256
2855000000,-23.71463,-150.78888
2860000000,-24.037638,-179.61153
2865000000,-23.587212,150.69533
2870000000,-22.912792,124.68266
2875000000,-22.041986,104.81837
2880000000,-20.798756,87.824257
2885000000,-19.740717,70.315102
2890000000,-19.137062,53.887661
2895000000,-18.896292,39.889927
2900000000,-18.548355,27.566761
2905000000,-18.277607,13.881445
2910000000,-18.344896,-0.53859484
2915000000,-18.764791,-14.759584
2920000000,-19.369667,-28.026564
2925000000,-20.071857,-42.054947
2930000000,-21.008207,-57.989647
2935000000,-22.499758,-74.751564
2940000000,-23.95627,-90.825401
2945000000,-25.033474,-111.86891
2950000000,-25.756121,-140.24907
2955000000,-25.943546,-173.35098
2960000000,-25.376469,155.85626
2965000000,-24.227966,132.09468
2970000000,-22.352966,112.25526
2975000000,-20.900915,91.610298
2980000000,-20.003365,74.784172
2985000000,-19.1947,59.733578
2990000000,-18.532818,45.649029
2995000000,-18.054977,30.300728
3000000000,-18.103931,15.921265
END

