f_GHz,mu,epsilon
22,77825401.7733887-12533590.4657712i,2.33032173507603+0.374988778464933i
22.055,82416002.9013053-16984659.3481742i,2.1549189063109+0.443710423800997i
22.11,80685498.077453-28572886.0325667i,2.02884408914986+0.718065547134385i
22.165,81035451.3917803-9501913.70234662i,2.2313910106591+0.261267636041979i
22.22,101058658.441203-39327243.9577592i,1.56138598579822+0.607287454739566i
22.275,79176759.1123818-35124661.2657071i,1.90791083075055+0.845917450760361i
22.33,79113727.4814383-22709775.4959155i,2.10916260336007+0.605091621765506i
22.385,80333392.4618362-26819417.978043i,2.00494458152121+0.668917657887566i
22.44,74186540.7266175-29831284.3315514i,2.06703313535695+0.830666120556342i
22.495,76792679.9587865-11104310.4250344i,2.26104639685046+0.326533507026896i
22.55,89979421.9457879-19949076.2957306i,1.86866939819413+0.41386513155645i
22.605,83551774.2385615-38946106.3289346i,1.72612647332512+0.804098991483618i
22.66,80640164.4178669-13840389.4757504i,2.10432040739286+0.360747231671031i
22.715,86807539.6066318-38763266.6190809i,1.66989647575593+0.745190786331769i
22.77,69659594.8056275-36785676.154181i,1.94223121212096+1.02506132517157i
22.825,77344363.5033088-15502182.0428222i,2.14016689550872+0.428545428738988i
22.88,80255553.2798324-25999264.5656089i,1.93240449951444+0.625526433276661i
22.935,79216152.8555671-21437163.9843342i,2.00591430869722+0.542298445193224i
22.99,80271344.8609081-25894311.6013989i,1.9151047046938+0.617298782670941i
23.045,79850193.5458648-35755595.9397859i,1.76218236908224+0.788572604897304i
23.1,73358959.1633005-44669653.1771818i,1.67192561736016+1.01753941705909i
23.155,70228878.7586052-32775295.28676i,1.95640598284729+0.912518137067895i
23.21,77325614.3272051-18950584.3398588i,2.03152125839197+0.497391789926122i
23.265,76898178.8275146-25291152.6211285i,1.94495799744209+0.639088203915054i
23.32,77496891.3637544-16443059.5123376i,2.03682166322954+0.431605554284392i
23.375,83107276.7209179-26092059.6911569i,1.79834790118702+0.564046045338832i
23.43,75198940.5949448-32642667.3553942i,1.82862407698686+0.793160599139685i
23.485,80155428.9284443-25599587.8481724i,1.84142947728629+0.587574521475725i
23.54,74439323.0052992-34657387.6257312i,1.78755173272491+0.831529775494774i
23.595,73578489.6231812-23739621.855413i,1.98353668058711+0.639398944946803i
23.65,77451947.6467244-24718328.782378i,1.87945406525961+0.599323056481118i
23.705,77434559.9382814-25820726.2054154i,1.85544489238127+0.61806330687231i
23.76,77831256.2533841-20910050.0396524i,1.90423622262596+0.510993162152439i
23.815,82531616.7479972-27218445.7250294i,1.72857707778274+0.569568349074828i
23.87,78102678.2542075-37651592.3740481i,1.63592957541707+0.78801311309745i
23.925,75304477.6168149-34338345.0831791i,1.72309140384982+0.785079361650578i
23.98,72633968.5151078-30551226.1918582i,1.82507645750255+0.76713737577956i
24.035,74712936.2165179-29533714.9401346i,1.79782302876339+0.709997028409379i
24.09,71486289.7639855-28853086.1535748i,1.85965089403087+0.74992411099606i
24.145,78146798.5530581-20672101.7831136i,1.84040109005949+0.486198470284466i
24.2,81747547.4920424-28906330.7587386i,1.66566867931032+0.588474490028746i
24.255,77421322.959218-36924993.664745i,1.60482534623783+0.764744485327133i
24.31,73811352.9075709-36622019.3549699i,1.6505123589106+0.818256335399362i
24.365,75110862.4285424-30315608.5784667i,1.73023325445081+0.697703199601897i
24.42,71634101.5225089-35488712.2962455i,1.68644916932719+0.834791785138002i
24.475,72993074.3148234-25531320.9837081i,1.82819589940282+0.638767357058272i
24.53,78869862.7690046-20609539.5961554i,1.76957952971573+0.461808451593406i
24.585,81741140.6973363-29792258.3306481i,1.60296131613903+0.583659897421189i
24.64,73104526.4688911-38184302.6095487i,1.58820891810019+0.828974518544837i
24.695,72632092.0427714-35842821.5416286i,1.62894407827712+0.803162525247411i
24.75,74297038.9034677-33371827.9223511i,1.64046127644272+0.736171283441917i
24.805,70760869.0997736-34799096.9982612i,1.65947112985158+0.815388728542466i
24.86,73791682.9201008-27573323.4389842i,1.72634414538298+0.64433017133174i
24.915,78102943.371089-24546102.5400127i,1.68414066251259+0.528654296550756i
24.97,76934367.453193-29456853.3135635i,1.63123633278671+0.623983922485773i
25.025,74342319.2229122-32753718.1351062i,1.61386297295563+0.710448604241201i
25.08,75454770.9192894-34841372.91018i,1.55828378797806+0.718858424932876i
25.135,72076096.1005785-38983749.1081913i,1.52452662936825+0.823806948679803i
25.19,74792132.4953233-29903681.7911225i,1.63002496229702+0.651032002047376i
25.245,75744175.4667967-27989203.186273i,1.63539313625823+0.60358860506236i
25.3,73835396.7711351-30910251.5669462i,1.61536338006755+0.67549620801427i
25.355,76937383.9743857-25060812.3285707i,1.63987469192229+0.533640453457882i
