!CSV A.01.01
!Keysight Technologies,N5224B,MY57181201,A.12.70.07
!Date: Wednesday, July 27, 2022 13:20:57
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S22(DB),S22(DEG)
2000000000,-22.259193,-82.409706
2005000000,-21.308939,-86.986038
2010000000,-20.47385,-93.656784
2015000000,-20.158569,-102.75524
2020000000,-20.182081,-111.15388
2025000000,-21.462408,-119.14926
2030000000,-22.873396,-116.37727
2035000000,-22.815441,-112.47785
2040000000,-22.912958,-114.77267
2045000000,-23.908758,-111.5777
2050000000,-23.808527,-101.55754
2055000000,-21.570122,-98.910934
2060000000,-20.831982,-109.93921
2065000000,-21.516428,-115.8961
2070000000,-22.365957,-115.16927
2075000000,-21.886011,-109.62465
2080000000,-20.707066,-114.5036
2085000000,-20.808813,-125.69109
2090000000,-22.559868,-132.12819
2095000000,-24.69618,-125.68931
2100000000,-24.540714,-111.31778
2105000000,-23.378994,-110.53518
2110000000,-23.491638,-106.36108
2115000000,-22.883585,-106.77909
2120000000,-22.03718,-104.11678
2125000000,-21.864668,-111.73931
2130000000,-22.091833,-111.82865
2135000000,-21.97438,-113.48866
2140000000,-22.940744,-116.07438
2145000000,-22.896021,-106.95004
2150000000,-22.109182,-111.14621
2155000000,-22.848301,-113.38052
2160000000,-23.781166,-111.15125
2165000000,-24.560898,-102.45463
2170000000,-23.621109,-90.624153
2175000000,-22.55685,-89.276276
2180000000,-21.150333,-86.610741
2185000000,-20.167446,-92.13829
2190000000,-19.416862,-97.963989
2195000000,-19.79999,-104.85426
2200000000,-20.141481,-104.999
2205000000,-20.036589,-104.04156
2210000000,-19.460577,-104.98988
2215000000,-19.224236,-113.89764
2220000000,-20.394716,-117.17579
2225000000,-21.299929,-122.76963
2230000000,-23.389204,-112.71024
2235000000,-22.646772,-104.86993
2240000000,-23.255827,-108.2738
2245000000,-23.82526,-88.49836
2250000000,-21.440475,-83.227058
2255000000,-20.380398,-80.664413
2260000000,-18.310513,-83.775436
2265000000,-17.215063,-96.545746
2270000000,-17.812511,-104.50935
