!CSV A.01.01
!Keysight Technologies,N5224B,MY57181201,A.12.70.07
!Date: Tuesday, July 26, 2022 15:55:39
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(DB),S11(DEG)
22000000000,-11.092119,31.339245
22055000000,-13.57792,-19.794426
22110000000,-8.6102324,-38.245853
22165000000,-5.4069934,-37.338165
22220000000,-5.1458964,-2.5182264
22275000000,-4.6628571,12.005088
22330000000,-7.7317667,29.190775
22385000000,-12.267156,47.19762
22440000000,-16.906488,-52.076595
22495000000,-10.350109,-52.009907
22550000000,-6.2169819,-34.471687
22605000000,-6.0625291,-17.559784
22660000000,-5.8551431,10.882145
22715000000,-10.097651,29.282442
22770000000,-15.910363,58.973274
22825000000,-17.960985,-52.908112
22880000000,-13.598895,-55.734013
22935000000,-7.9671621,-34.161095
22990000000,-9.3392601,-21.936813
23045000000,-9.8794632,20.140585
23100000000,-13.437092,42.189838
23155000000,-22.821833,82.487823
23210000000,-27.95558,-111.55576
23265000000,-13.859329,-50.827885
23320000000,-11.658301,-38.250988
23375000000,-12.719746,6.8729854
23430000000,-11.916354,38.334362
23485000000,-19.821522,84.850761
23540000000,-16.99238,132.01994
23595000000,-24.614374,-119.59659
23650000000,-17.847015,-68.116203
23705000000,-14.732546,-14.323967
23760000000,-12.306267,16.654722
23815000000,-12.824826,76.33844
23870000000,-11.722716,100.44303
23925000000,-14.783708,141.70526
23980000000,-16.23398,169.26866
24035000000,-25.424229,-98.561852
24090000000,-18.951904,2.8729353
24145000000,-14.596536,44.036407
24200000000,-9.9659863,90.622162
24255000000,-9.900588,98.996925
24310000000,-10.321338,129.86946
24365000000,-14.012709,146.90262
24420000000,-19.114574,119.88926
24475000000,-16.952911,53.365662
24530000000,-13.225312,74.669434
24585000000,-7.5547404,94.944183
24640000000,-8.1553707,101.98324
24695000000,-9.1921844,118.07562
24750000000,-11.214323,128.28943
24805000000,-15.203894,114.98502
24860000000,-12.878483,66.181236
24915000000,-9.3897676,80.633759
24970000000,-7.3973622,90.886078
25025000000,-5.1402369,105.83512
25080000000,-7.2104206,110.08643
25135000000,-11.029537,124.66486
25190000000,-10.444507,108.09597
25245000000,-10.147467,72.356583
25300000000,-8.1934919,75.134354
25355000000,-6.3064489,94.206604
25410000000,-4.5762062,94.729774
25465000000,-6.7889018,108.26553
25520000000,-8.6008129,114.94583
25575000000,-10.098339,95.570816
25630000000,-8.8679228,76.199409
25685000000,-7.0192418,73.226883
25740000000,-5.4975553,84.780151
25795000000,-4.4736519,103.58173
25850000000,-5.5840569,99.29393
25905000000,-8.0089674,101.74438
25960000000,-9.6903658,93.612656
26015000000,-6.5660596,79.784554
26070000000,-5.163693,73.387955
26125000000,-5.904099,83.182556
26180000000,-3.8613842,100.22523
26235000000,-4.7212787,92.015823
26290000000,-8.5923967,96.741486
26345000000,-6.4105544,91.501076
26400000000,-5.645483,73.416664
26455000000,-5.0986571,74.227402
26510000000,-4.3639011,83.77359
26565000000,-4.4891868,97.120628
26620000000,-4.7503705,89.540253
26675000000,-5.6915145,90.326752
26730000000,-6.7345452,80.225868
26785000000,-4.4849486,77.180145
26840000000,-3.8673925,73.032585
26895000000,-3.9231429,82.428368
26950000000,-3.8360531,91.093956
27005000000,-3.3293698,92.330605
27060000000,-5.3132467,77.676392
27115000000,-6.429832,80.888512
27170000000,-4.2814894,71.122597
27225000000,-2.7299833,71.265854
27280000000,-3.3213952,72.882965
27335000000,-3.9703188,86.17614
27390000000,-3.4612253,84.625687
27445000000,-4.9629354,81.383423
27500000000,-5.4897103,68.057869
27555000000,-3.8078487,71.477898
27610000000,-2.8068252,66.092102
27665000000,-3.5568831,70.495247
27720000000,-2.2378922,81.405342
27775000000,-4.2940998,86.429253
27830000000,-3.4895306,74.442123
27885000000,-5.7842712,66.305931
27940000000,-3.618238,66.846001
27995000000,-1.8071401,68.100769
28050000000,-1.6396091,71.002182
28105000000,-4.0785546,74.699852
28160000000,-2.9919903,84.995827
28215000000,-4.5411334,71.600655
28270000000,-4.8485565,59.154205
28325000000,-3.5437286,70.32782
28380000000,-1.6747078,62.066284
28435000000,-2.1309378,64.60099
28490000000,-2.2764776,77.061111
28545000000,-4.5547438,72.844078
28600000000,-4.1435537,69.153336
28655000000,-4.7669892,62.266216
28710000000,-3.4255002,56.674259
28765000000,-2.3725867,66.541763
28820000000,-2.2072039,66.110764
28875000000,-2.878751,67.252617
28930000000,-3.9030905,73.110245
28985000000,-4.5008612,66.335999
29040000000,-3.6983776,55.032131
29095000000,-3.6700532,62.431297
29150000000,-2.5661566,59.279438
29205000000,-1.5380419,67.782074
29260000000,-3.3661356,67.166222
29315000000,-3.9876974,65.765648
29370000000,-3.9445412,65.036682
29425000000,-3.949136,50.662361
29480000000,-2.5721152,54.765728
29535000000,-1.5883292,64.052788
29590000000,-2.6402466,57.819847
29645000000,-1.5053815,67.384354
29700000000,-4.2308526,65.912849
29755000000,-4.1491222,58.100788
29810000000,-3.3097718,56.367138
29865000000,-3.3699327,48.781044
29920000000,-2.2134759,52.166012
29975000000,-1.2618173,63.385746
30030000000,-3.2516656,56.698097
30085000000,-3.2663779,63.229916
30140000000,-4.4384289,61.694633
30195000000,-3.4925516,-135.10986
30250000000,-3.447387,49.836529
30305000000,-2.470752,54.781712
30360000000,-1.9046916,-126.89053
30415000000,-2.0703568,60.860435
30470000000,-4.2952242,-123.80658
30525000000,-3.7671406,-126.89642
30580000000,-4.6258616,-128.75418
30635000000,-3.1019278,-136.62457
30690000000,-2.1838999,-131.0323
30745000000,-3.2418959,-124.40523
30800000000,-2.4530258,-131.85612
30855000000,-3.3657577,-120.01492
30910000000,-4.4770632,-138.90213
30965000000,-4.1969995,-136.10841
31020000000,-3.4223213,-130.70679
31075000000,-3.0742116,-136.86812
31130000000,-2.9164374,-127.35968
31185000000,-3.2323382,-122.55701
31240000000,-3.9143336,-138.7348
31295000000,-4.3881741,-134.74638
31350000000,-4.8347692,-145.96519
31405000000,-3.5645385,-135.74635
31460000000,-2.6757078,-135.68878
31515000000,-2.8627801,-135.75999
31570000000,-3.1721861,-126.68849
31625000000,-4.5249104,-128.91743
31680000000,-4.0115342,-146.99821
31735000000,-5.9943438,-138.29994
31790000000,-3.9881485,-138.50377
31845000000,-2.4379098,-143.66817
31900000000,-4.1929631,-132.50764
31955000000,-3.5609412,-132.60454
32010000000,-4.0771432,-132.78685
32065000000,-5.4667597,-140.1403
32120000000,-4.7381425,-151.1987
32175000000,-4.956419,-139.6622
32230000000,-3.5628295,-146.44911
32285000000,-3.0909483,-140.03894
32340000000,-4.5326366,-134.92667
32395000000,-4.3381481,-139.0934
32450000000,-4.8759069,-140.0748
32505000000,-6.8114543,-153.96648
32560000000,-4.0598817,-152.27292
32615000000,-5.3291535,-142.84233
32670000000,-3.0620568,-146.23129
32725000000,-4.8416619,-145.24919
32780000000,-5.6683049,-131.17249
32835000000,-5.4871526,-152.47981
32890000000,-5.7852511,-146.4816
32945000000,-7.370636,-156.47658
33000000000,-3.9385626,-146.38072
END

