!CSV A.01.01
!Keysight Technologies,N5224B,MY57181201,A.12.70.07
!Date: Tuesday, July 26, 2022 16:19:25
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S22(DB),S22(DEG)
22000000000,-7.6714964,-55.138077
22055000000,-8.5184565,-56.229858
22110000000,-8.9685116,-53.259628
22165000000,-8.1096449,-51.030163
22220000000,-7.9465666,-54.998539
22275000000,-8.9361153,-56.011127
22330000000,-10.048143,-55.606552
22385000000,-10.501634,-50.736843
22440000000,-9.87397,-48.63866
22495000000,-9.7463264,-56.145264
22550000000,-11.117203,-50.437107
22605000000,-11.575122,-50.783901
22660000000,-11.817015,-43.877831
22715000000,-11.454072,-44.458153
22770000000,-12.226247,-50.397102
22825000000,-13.240128,-50.298958
22880000000,-13.651639,-50.646851
22935000000,-13.497095,-48.884712
22990000000,-13.565791,-44.153873
23045000000,-13.964304,-41.950165
23100000000,-15.506078,-44.863998
23155000000,-16.476852,-38.872906
23210000000,-16.182476,-37.18261
23265000000,-17.62603,-27.558964
23320000000,-18.451502,-36.564552
23375000000,-20.946819,-27.218807
23430000000,-21.726042,-18.671135
23485000000,-20.004002,-13.601204
23540000000,-23.085257,-3.204428
23595000000,-21.718433,19.08621
23650000000,-25.392115,22.391678
23705000000,-25.377201,36.418762
23760000000,-21.052765,60.422779
23815000000,-21.652954,43.366627
23870000000,-21.544561,66.636711
23925000000,-21.463797,66.349884
23980000000,-18.831661,78.865784
24035000000,-16.882759,71.26973
24090000000,-18.322538,81.4049
24145000000,-15.694376,93.93988
24200000000,-16.570808,82.090736
24255000000,-14.814925,80.305527
24310000000,-15.729534,80.16024
24365000000,-13.975851,86.086914
24420000000,-14.308759,89.063499
24475000000,-13.046024,86.666451
24530000000,-13.185957,96.591904
24585000000,-12.325385,87.667267
24640000000,-12.23885,94.534454
24695000000,-12.360309,88.098938
24750000000,-11.300971,100.77048
24805000000,-10.486535,92.43174
24860000000,-10.610799,99.88311
24915000000,-10.14986,97.223114
24970000000,-8.8408279,97.724403
25025000000,-9.5996132,89.324013
25080000000,-9.6869192,96.051773
25135000000,-9.156496,96.655174
25190000000,-7.8121881,97.382011
25245000000,-7.9994011,94.6036
25300000000,-7.4113693,98.942726
25355000000,-7.3881497,97.82888
25410000000,-7.5598025,95.032623
25465000000,-7.7287669,96.932381
25520000000,-7.1788974,94.131386
25575000000,-7.1695576,99.236267
25630000000,-6.9041901,99.335808
25685000000,-6.4841352,97.939011
25740000000,-6.5432749,97.437027
25795000000,-6.1399183,96.104004
25850000000,-6.6053405,95.863007
25905000000,-6.45787,98.858162
25960000000,-6.2709951,100.5304
26015000000,-5.6437297,98.12677
26070000000,-5.9130073,98.507866
26125000000,-5.5869651,99.363747
26180000000,-5.417644,97.341637
26235000000,-5.3464327,-79.715523
26290000000,-5.0529552,-81.259193
26345000000,-5.4333529,-80.923851
26400000000,-5.557622,-78.987312
26455000000,-5.0058393,-80.161461
26510000000,-5.0619588,-81.07682
26565000000,-4.5344553,-76.6222
26620000000,-4.0348754,-77.54335
26675000000,-4.7061987,-80.795601
26730000000,-5.2187738,-77.271568
26785000000,-4.7344112,-77.117455
26840000000,-4.4030566,-77.901405
26895000000,-4.4125843,-77.627693
26950000000,-3.9408233,-78.433136
27005000000,-4.258029,-76.813835
27060000000,-3.9478045,-75.18119
27115000000,-4.0558519,-75.259613
27170000000,-4.0827026,-74.8787
27225000000,-4.1114588,-76.044395
27280000000,-3.6848047,-75.157585
27335000000,-3.8758576,-75.264725
27390000000,-3.3245256,-72.763741
27445000000,-3.3375671,-76.883621
27500000000,-3.9210491,-76.019127
27555000000,-3.5958505,-74.749535
27610000000,-3.5627801,-73.551445
27665000000,-3.4287791,-74.620018
27720000000,-3.8009176,-74.880669
27775000000,-3.374537,-73.100311
27830000000,-3.2355216,-73.186203
27885000000,-3.121805,-73.375008
27940000000,-3.4582975,-70.564171
27995000000,-3.3459859,-71.612823
28050000000,-3.5143826,-70.864594
28105000000,-3.2986848,-71.221413
28160000000,-3.4556847,-71.524803
28215000000,-3.3416901,-69.625916
28270000000,-2.7727413,-70.377602
28325000000,-3.0646312,-71.115135
28380000000,-3.0806921,-69.297485
28435000000,-2.9997258,-67.202621
28490000000,-2.9284842,-69.575493
28545000000,-3.2131095,-66.446251
28600000000,-2.9610105,-66.760147
28655000000,-2.9449546,-67.85318
28710000000,-2.8962789,-66.940865
28765000000,-2.4047663,-68.112907
28820000000,-2.9002101,-68.622284
28875000000,-2.7363312,-66.968956
28930000000,-3.1449385,-66.624893
28985000000,-2.9734049,-66.637527
29040000000,-2.9507735,-65.21653
29095000000,-2.6449432,-65.137878
29150000000,-2.538079,-67.753456
29205000000,-3.0544035,-66.095779
29260000000,-2.6797147,-63.457142
29315000000,-2.9028058,-65.087723
29370000000,-3.2280686,-63.172913
29425000000,-2.9427578,-64.368111
29480000000,-2.7932067,-65.018394
29535000000,-2.6908529,-66.154419
29590000000,-2.9554062,-62.672951
29645000000,-3.0072105,-61.329941
29700000000,-3.2317302,-60.538418
29755000000,-2.9916646,-61.675426
29810000000,-3.0757663,-64.370369
29865000000,-2.8571854,-62.272816
29920000000,-2.7377927,-60.71489
29975000000,-2.7856853,-62.334637
30030000000,-3.4016938,-57.461529
30085000000,-3.0022738,-59.475342
30140000000,-3.1610398,-59.097279
30195000000,-2.9996352,-59.94775
30250000000,-2.8855155,-59.841946
30305000000,-2.9078557,-59.317726
30360000000,-3.0957422,-57.317631
30415000000,-3.5541561,-56.148605
30470000000,-3.2331197,-53.992996
30525000000,-3.4080448,-58.012398
30580000000,-3.1392281,-57.176182
30635000000,-3.124402,-58.018051
30690000000,-2.8799205,-56.570839
30745000000,-2.9590707,-54.020477
30800000000,-3.7556226,-54.251999
30855000000,-3.7264311,-49.068951
30910000000,-3.4252048,-51.657993
30965000000,-3.4367516,-57.19854
31020000000,-3.3148277,-54.815166
31075000000,-3.0884993,-54.650093
31130000000,-3.2968397,-52.030861
31185000000,-3.7358403,-51.655186
31240000000,-4.110764,-46.392517
31295000000,-3.6639824,-49.913437
31350000000,-3.1313727,-51.048172
31405000000,-3.4399652,-53.09692
31460000000,-3.2937934,-52.267845
31515000000,-3.4091206,-50.57716
31570000000,-3.7756352,-49.181602
31625000000,-4.0737495,-47.770195
31680000000,-4.2071505,-44.797523
31735000000,-3.830451,-49.784058
31790000000,-3.6400371,-48.815098
31845000000,-3.4258311,-49.868771
31900000000,-3.2236378,-44.542744
31955000000,-4.0146408,-50.285324
32010000000,-5.4289341,-44.9118
32065000000,-4.5591612,-43.732372
32120000000,-4.5478549,-48.6772
32175000000,-3.773484,-44.868855
32230000000,-3.4062405,-47.750824
32285000000,-3.7904828,-44.250923
32340000000,-4.2874632,-42.63718
32395000000,-5.6711631,-47.074535
32450000000,-5.7181101,-42.28109
32505000000,-5.3630729,-44.373306
32560000000,-4.5950561,-46.15192
32615000000,-4.5146847,-44.430248
32670000000,-3.4381647,-44.605175
32725000000,-4.81112,-46.692944
32780000000,-5.6678233,-45.113934
32835000000,-6.9003401,-41.160751
32890000000,-6.3668728,-42.799854
32945000000,-5.332232,-40.53867
33000000000,-5.233707,-45.818569
END

