!CSV A.01.01
!Keysight Technologies,N5224B,MY57181201,A.12.70.07
!Date: Tuesday, July 26, 2022 16:37:16
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S22(DB),S22(DEG)
22000000000,-3.2014832,159.83714
22055000000,-3.0080862,163.29715
22110000000,-3.0018587,163.58214
22165000000,-2.6163278,170.64894
22220000000,-2.6451013,175.86932
22275000000,-2.4628758,-177.24837
22330000000,-3.2243459,-172.4026
22385000000,-3.2306805,-168.49907
22440000000,-3.1553817,-166.54947
22495000000,-2.8689835,-164.39285
22550000000,-2.6470737,-158.32159
22605000000,-2.5972638,-153.79291
22660000000,-2.9714417,-146.5728
22715000000,-3.3019693,-141.08083
22770000000,-3.0670025,-135.72946
22825000000,-2.7231414,-134.6613
22880000000,-3.0321012,-132.18785
22935000000,-2.7251854,-125.2267
22990000000,-2.6688364,-121.58909
23045000000,-3.0135188,-114.5914
23100000000,-2.8044963,-109.97251
23155000000,-2.9985006,-105.23718
23210000000,-2.725462,-101.57532
23265000000,-2.8123989,-97.796997
23320000000,-2.721997,-94.987564
23375000000,-2.7954793,-91.350693
23430000000,-3.1101589,-85.339638
23485000000,-2.6035616,-80.59977
23540000000,-3.1924062,-75.737869
23595000000,-2.8289769,-67.336189
23650000000,-2.7808969,-66.21331
23705000000,-3.314471,-63.636776
23760000000,-3.0855708,-55.761555
23815000000,-2.889894,-56.794933
23870000000,-3.2485783,-50.242035
23925000000,-2.8708532,-44.870277
23980000000,-3.3048923,-40.475662
24035000000,-3.2791238,-32.449982
24090000000,-2.8256733,-31.169167
24145000000,-2.8340585,-24.888723
24200000000,-3.0824118,-24.51009
24255000000,-2.9265108,-16.185865
24310000000,-3.3268681,-13.208938
24365000000,-3.2724047,-8.6034479
24420000000,-3.7054,-3.1740224
24475000000,-2.6083479,0.61663383
24530000000,-2.99263,5.4414682
24585000000,-2.8731506,6.3426061
24640000000,-3.8082821,13.348945
24695000000,-3.7808802,17.498095
24750000000,-3.7368588,24.111341
24805000000,-3.3009646,26.82382
24860000000,-3.4733589,35.167568
24915000000,-2.8177896,36.388294
24970000000,-2.8098648,41.515709
25025000000,-3.6980073,42.300274
